Date,Tenor (days),Maturity Date,Deposits Amount (EGP Mio),Submitted Amount(EGP Mio),Accepted amount(EGP Mio),Fixed Rate (%)
18/08/2026,7,25/08/2026,0,"67,205","67,205",19.50
11/08/2026,7,18/08/2026,0,"177,400","177,400",19.50
04/08/2026,7,11/08/2026,0,"23,250","23,250",19.50
28/07/2026,7,04/08/2026,0,"55,150","55,150",19.50
21/07/2026,7,28/07/2026,0,"22,000","22,000",19.50
14/07/2026,7,21/07/2026,0,"13,900","13,900",19.50
07/07/2026,7,14/07/2026,0,"30,000","30,000",19.50
30/06/2026,7,07/07/2026,0,"30,100","30,100",19.50
23/06/2026,7,30/06/2026,0,"12,000","12,000",19.50
16/06/2026,7,23/06/2026,0,"12,350","12,350",19.50
09/06/2026,7,16/06/2026,0,"13,500","13,500",19.50
02/06/2026,7,09/06/2026,0,"38,000","38,000",19.50
19/05/2026,14,02/06/2026,0,"10,100","10,100",19.50
12/05/2026,7,19/05/2026,0,"45,500","45,500",19.50
05/05/2026,7,12/05/2026,0,"41,400","41,400",19.50
28/04/2026,7,05/05/2026,0,"71,000","71,000",19.50
21/04/2026,7,28/04/2026,0,"68,950","68,950",19.50
14/04/2026,7,21/04/2026,0,"82,700","82,700",19.50
07/04/2026,7,14/04/2026,0,"58,800","58,800",19.50
31/03/2026,7,07/04/2026,0,"71,300","71,300",19.50
24/03/2026,7,31/03/2026,0,"176,850","176,850",19.50
17/03/2026,7,24/03/2026,0,"69,850","69,850",19.50
10/03/2026,7,17/03/2026,0,"64,600","64,600",19.50
03/03/2026,7,10/03/2026,0,"185,400","185,400",19.50
24/02/2026,7,03/03/2026,0,"82,200","82,200",19.50
17/02/2026,7,24/02/2026,0,"78,000","78,000",19.50
10/02/2026,7,17/02/2026,0,"78,200","78,200",20.50
03/02/2026,7,10/02/2026,0,"81,200","81,200",20.50
27/01/2026,7,03/02/2026,0,"87,350","87,350",20.50
20/01/2026,7,27/01/2026,0,"102,600","102,600",20.50
13/01/2026,7,20/01/2026,0,"91,200","91,200",20.50
06/01/2026,7,13/01/2026,0,"101,000","101,000",20.50
30/12/2025,7,06/01/2026,0,"62,900","62,900",20.50
23/12/2025,7,30/12/2025,0,"107,200","107,200",21.50
16/12/2025,7,23/12/2025,0,"126,400","126,400",21.50
09/12/2025,7,16/12/2025,0,"103,350","103,350",21.50
02/12/2025,7,09/12/2025,0,"143,500","143,500",21.50
25/11/2025,7,02/12/2025,0,"217,500","217,500",21.50
18/11/2025,7,25/11/2025,0,"157,000","157,000",21.50
11/11/2025,7,18/11/2025,0,"176,800","176,800",21.50
04/11/2025,7,11/11/2025,0,"134,800","134,800",21.50
28/10/2025,7,04/11/2025,0,"146,000","146,000",21.50
21/10/2025,7,28/10/2025,0,"277,100","277,100",21.50
14/10/2025,7,21/10/2025,0,"153,300","153,300",21.50
07/10/2025,7,14/10/2025,0,"131,600","131,600",21.50
30/09/2025,7,07/10/2025,0,"209,350","209,350",22.50
23/09/2025,7,30/09/2025,0,"238,150","238,150",22.50
16/09/2025,7,23/09/2025,0,"195,850","195,850",22.50
09/09/2025,7,16/09/2025,0,"87,430","87,430",22.50
02/09/2025,7,09/09/2025,0,"343,950","343,950",22.50
26/08/2025,7,02/09/2025,0,"226,700","226,700",24.50
19/08/2025,7,26/08/2025,0,"263,000","263,000",24.50
12/08/2025,7,19/08/2025,0,"193,600","193,600",24.50
05/08/2025,7,12/08/2025,0,"224,000","224,000",24.50
