Issue Date,Tenor (days),Maturity Date,Announced Amount(EGP Mio),Submitted Amount(EGP Mio),Accepted amount(EGP Mio),Min. Yield (%),Max. Yield (%),Weighted Avg. Yield (%)
28/02/2018,28,28/03/2018,"205,000","265,750","205,000",18.120,18.250,18.240
21/02/2018,28,21/03/2018,"120,000","136,575","132,990",17.850,18.270,18.207
07/02/2018,35,14/03/2018,"120,000","162,915","120,000",19.150,19.199,19.197
31/01/2018,35,07/03/2018,"170,000","203,400","170,000",19.100,19.250,19.247
24/01/2018,28,21/02/2018,"65,000","86,510","70,000",19.170,19.265,19.257
17/01/2018,42,28/02/2018,"135,000","146,725","135,000",19.250,19.290,19.283
10/01/2018,42,21/02/2018,"40,000","59,500","45,000",19.260,19.300,19.287
03/01/2018,35,07/02/2018,"45,000","46,125","45,325",19.260,19.290,19.281
03/01/2018,49,21/02/2018,"45,000","46,025","45,550",19.260,19.310,19.296
27/12/2017,42,07/02/2018,"55,000","67,189","55,000",19.240,19.310,19.293
20/12/2017,42,31/01/2018,"135,000","137,636","137,586",19.260,19.310,19.302
13/12/2017,42,24/01/2018,"70,000","69,650","69,450",19.250,19.310,19.301
06/12/2017,42,17/01/2018,"115,000","125,840","120,000",19.260,19.310,19.301
29/11/2017,42,10/01/2018,"35,000","41,600","39,750",19.250,19.310,19.291
22/11/2017,42,03/01/2018,"80,000","86,025","83,525",19.250,19.310,19.302
15/11/2017,42,27/12/2017,"45,000","55,020","54,780",19.240,19.320,19.303
08/11/2017,42,20/12/2017,"100,000","105,305","103,875",19.250,19.320,19.310
01/11/2017,42,13/12/2017,"70,000","78,460","78,310",19.200,19.330,19.303
25/10/2017,42,06/12/2017,"90,000","115,500","102,750",19.250,19.330,19.327
18/10/2017,42,29/11/2017,"40,000","48,880","48,610",19.100,19.390,19.307
11/10/2017,42,22/11/2017,"40,000","57,250","40,300",19.250,19.390,19.350
27/09/2017,42,08/11/2017,"40,000","62,890","43,125",19.250,19.340,19.311
27/09/2017,28,25/10/2017,"40,000","38,715","38,030",19.200,19.380,19.342
20/09/2017,42,01/11/2017,"40,000","47,060","40,000",19.290,19.400,19.373
19/09/2017,29,18/10/2017,"15,000","21,017","15,317",19.190,19.380,19.343
13/09/2017,35,18/10/2017,"40,000","48,650","40,000",19.220,19.420,19.374
12/09/2017,64,15/11/2017,"50,000","89,260","70,000",19.150,19.600,19.541
