Date,Auction Number,Total Amount for the Auction,Weighted Average Rate for the Auction
30/12/2012,1,74.9,6.2526
31/12/2012,2,74.7,6.3107
02/01/2013,3,75,6.3603
03/01/2013,4,74.9,6.3892
06/01/2013,5,60,6.4198
08/01/2013,6,60,6.4497
09/01/2013,7,49.6,6.4802
10/01/2013,8,49.1,6.5099
13/01/2013,9,74.8,6.5299
15/01/2013,10,74,6.5500
17/01/2013,11,72.9,6.5700
20/01/2013,12,74.3,6.5875
22/01/2013,13,73,6.6025
27/01/2013,14,48.1,6.6235
29/01/2013,15,47.9,6.6525
31/01/2013,16,48.7,6.6820
04/02/2013,17,73.1,6.6920
06/02/2013,18,49.6,6.7020
07/02/2013,19,49.2,6.7043
11/02/2013,20,37.8,6.7082
13/02/2013,21,38.9,6.7188
14/02/2013,22,38.3,6.7204
18/02/2013,23,39.7,6.7217
20/02/2013,24,37.6,6.7226
21/02/2013,25,38.8,6.7234
25/02/2013,26,38.8,6.728
27/02/2013,27,38,6.7292
28/02/2013,28,38.3,6.7304
04/03/2013,29,39.6,6.7342
06/03/2013,30,40,6.7405
07/03/2013,31,38.7,6.7458
11/03/2013,32,37.2,6.7532
13/03/2013,33,38.5,6.7628
14/03/2013,34,38.5,6.7712
18/03/2013,35,38.4,6.7794
20/03/2013,36,38.4,6.7839
21/03/2013,37,38.4,6.7881
25/03/2013,38,38.4,6.7889
27/03/2013,39,38.4,6.7896
28/03/2013,40,38.4,6.7931
01/04/2013,41,39.2,6.7997
03/04/2013,42,38.6,6.8078
04/04/2013,43,38.6,6.8283
08/04/2013,44,38.8,6.8391
10/04/2013,45,38.4,6.8504
11/04/2013,46,38.4,6.8612
15/04/2013,47,38.5,6.8765
17/04/2013,48,38.5,6.8822
18/04/2013,49,38.4,6.8934
22/04/2013,50,38.4,6.9077
24/04/2013,51,38.5,6.9163
29/04/2013,52,38.3,6.9245
02/05/2013,53,38.4,6.9315
08/05/2013,54,38.8,6.9398
09/05/2013,55,38.6,6.9463
13/05/2013,56,38.5,6.9545
15/05/2013,57,38.3,6.9591
16/05/2013,58,38.5,6.9660
20/05/2013,59,38.4,6.9720
27/05/2013,60,38.4,6.9720
29/05/2013,61,38.5,6.9731
30/05/2013,62,40,6.9738
03/06/2013,63,38.8,6.9753
05/06/2013,64,38.5,6.9774
06/06/2013,65,39.8,6.979
10/06/2013,66,38.8,6.9809
12/06/2013,67,38.9,6.9813
16/06/2013,68,38.8,6.9835
17/06/2013,69,38.9,6.9858
19/06/2013,70,38.9,6.9902
20/06/2013,71,38.9,6.9938
24/06/2013,72,38.8,6.9992
26/06/2013,73,38.3,7.0053
27/06/2013,74,38.6,7.0094
03/07/2013,75,38.8,7.0189
04/07/2013,76,38.8,7.0184
08/07/2013,77,37.6,7.0097
10/07/2013,78,38.8,6.9992
11/07/2013,79,38.8,6.9929
15/07/2013,80,38.4,6.9928
17/07/2013,81,38.8,6.9928
18/07/2013,82,38.8,6.9926
22/07/2013,83,38.6,6.9923
24/07/2013,84,38.5,6.9918
25/07/2013,85,38,6.9916
29/07/2013,86,38,6.9912
31/07/2013,87,40,6.9909
01/08/2013,88,40,6.9858
05/08/2013,89,37.6,6.9849
07/08/2013,90,37.3,6.9797
12/08/2013,91,38,6.9790
14/08/2013,92,38.6,6.9790
19/08/2013,93,38,6.9780
21/08/2013,94,37.6,6.9773
22/08/2013,95,39.8,6.9768
26/08/2013,96,37.6,6.9764
28/08/2013,97,38.8,6.9760
29/08/2013,98,38.6,6.9757
02/09/2013,99,38,6.9752
09/09/2013,100,38,6.8855
11/09/2013,101,38.8,6.8853
12/09/2013,102,38.6,6.8842
16/09/2013,103,38.8,6.8836
18/09/2013,104,38.9,6.8831
19/09/2013,105,38.9,6.8828
23/09/2013,106,38.8,6.8825
25/09/2013,107,38.8,6.8821
26/09/2013,108,38.8,6.8818
30/09/2013,109,38.8,6.8816
02/10/2013,110,38.8,6.8813
03/10/2013,111,38.8,6.8809
07/10/2013,112,38.8,6.8806
09/10/2013,113,38.8,6.8804
10/10/2013,114,38.8,6.8802
21/10/2013,115,38.8,6.8800
23/10/2013,116,38.8,6.8798
24/10/2013,117,38.8,6.8797
28/10/2013,118,38.8,6.8796
30/10/2013,119,38.8,6.8794
31/10/2013,120,38.8,6.8793
04/11/2013,121,38.8,6.8791
06/11/2013,122,38.8,6.8789
07/11/2013,123,38.8,6.8787
11/11/2013,124,38.8,6.8786
13/11/2013,125,38.8,6.8785
14/11/2013,126,38,6.8784
18/11/2013,127,39.6,6.8782
20/11/2013,128,38.2,6.8781
21/11/2013,129,38.8,6.8778
25/11/2013,130,38.8,6.8776
27/11/2013,131,38.4,6.8775
28/11/2013,132,38.8,6.8774
02/12/2013,133,38.8,6.8773
04/12/2013,134,38.8,6.8772
05/12/2013,135,38.4,6.8771
08/12/2013,136,38.8,6.8770
11/12/2013,137,38.4,6.8769
12/12/2013,138,38.4,6.8768
17/12/2013,139,38.6,6.8767
18/12/2013,140,37.2,6.8869
19/12/2013,141,37.2,6.8972
23/12/2013,142,38.6,6.9075
25/12/2013,143,37.7,6.9179
26/12/2013,144,38.6,6.9282
30/12/2013,145,38.6,6.9386
02/01/2014,146,38.6,6.9478
06/01/2014,147,38.6,6.9476
08/01/2014,148,38.6,6.9525
09/01/2014,149,38.6,6.9524
15/01/2014,150,38.6,6.9522
16/01/2014,151,38.6,6.9522
20/01/2014,152,38.3,6.9521
22/01/2014,153,38.3,6.9520
23/01/2014,154,38.6,6.9520
29/01/2014,155,38.6,6.9517
30/01/2014,156,38.6,6.9517
03/02/2014,157,38.6,6.9516
05/02/2014,158,38.3,6.9516
06/02/2014,159,38.6,6.9515
10/02/2014,160,38.6,6.9514
12/02/2014,161,39.6,6.9513
13/02/2014,162,39.6,6.9513
17/02/2014,163,39.6,6.9512
19/02/2014,164,39.6,6.9512
20/02/2014,165,38.6,6.9511
24/02/2014,166,38.6,6.9509
26/02/2014,167,38.6,6.9508
27/02/2014,168,38.6,6.9507
03/03/2014,169,38.6,6.9506
05/03/2014,170,38.3,6.9505
06/03/2014,171,38.3,6.9504
10/03/2014,172,38.4,6.9504
12/03/2014,173,38.4,6.9504
13/03/2014,174,38.4,6.9503
17/03/2014,175,38.4,6.9503
19/03/2014,176,38.1,6.9502
20/03/2014,177,38.4,6.9501
24/03/2014,178,38.3,6.9501
26/03/2014,179,38.3,6.9525
27/03/2014,180,38.3,6.9576
31/03/2014,181,38.3,6.9575
02/04/2014,182,38.3,6.9624
03/04/2014,183,38.3,6.9651
07/04/2014,184,38.3,6.9649
09/04/2014,185,38.3,6.9652
10/04/2014,186,39.6,6.9651
14/04/2014,187,38.3,6.9702
16/04/2014,188,38.3,6.975
17/04/2014,189,38.3,6.9802
23/04/2014,190,38.3,6.9853
28/04/2014,191,39.2,6.9900
30/04/2014,192,39.2,6.9976
05/05/2014,193,40,7.005
07/05/2014,194,40,7.0202
08/05/2014,195,40,7.0350
12/05/2014,196,40,7.0451
15/05/2014,197,37.6,7.1026
19/05/2014,198,37.6,7.1068
21/05/2014,199,37.6,7.1150
22/05/2014,200,37.6,7.1226
26/05/2014,201,37.6,7.1352
28/05/2014,202,37.6,7.1403
29/05/2014,203,37.6,7.1404
02/06/2014,204,37.6,7.1404
04/06/2014,205,37.6,7.1403
05/06/2014,206,37.6,7.1403
09/06/2014,207,37.6,7.1402
11/06/2014,208,37.6,7.1402
12/06/2014,209,39.2,7.1402
16/06/2014,210,37.6,7.1401
18/06/2014,211,37.6,7.1401
19/06/2014,212,37.6,7.1401
23/06/2014,213,37.6,7.1401
25/06/2014,214,37.6,7.1401
26/06/2014,215,37.6,7.1401
30/06/2014,216,39.6,7.1401
02/07/2014,217,37.6,7.1401
03/07/2014,218,37.4,7.1401
07/07/2014,219,37.6,7.1401
09/07/2014,220,37.6,7.1401
10/07/2014,221,37.6,7.1401
14/07/2014,222,37.4,7.1401
16/07/2014,223,37.6,7.1401
17/07/2014,224,37.4,7.1401
21/07/2014,225,37.6,7.1401
24/07/2014,226,37.6,7.1401
31/07/2014,227,37.6,7.1401
04/08/2014,228,37.6,7.1401
06/08/2014,229,37.6,7.1401
07/08/2014,230,37.6,7.1401
11/08/2014,231,39.6,7.1401
13/08/2014,232,38.8,7.1401
14/08/2014,233,39.6,7.1401
18/08/2014,234,39.6,7.1401
20/08/2014,235,37.6,7.1401
21/08/2014,236,37.4,7.1401
25/08/2014,237,37.6,7.1401
27/08/2014,238,37.6,7.1401
01/09/2014,240,37.6,7.1401
03/09/2014,241,37.6,7.1401
04/09/2014,242,37.2,7.1401
08/09/2014,243,37.6,7.1401
10/09/2014,244,37.6,7.1401
11/09/2014,245,37.4,7.1401
15/09/2014,246,37.6,7.1401
17/09/2014,247,39.6,7.1401
19/09/2014,248,38.6,7.1401
22/09/2014,249,38.4,7.1401
24/09/2014,250,38.6,7.1401
25/09/2014,251,39.6,7.1401
29/09/2014,252,37.6,7.1401
01/10/2014,253,39.2,7.1401
02/10/2014,254,39,7.1401
08/10/2014,255,37.4,7.1401
09/10/2014,256,37.4,7.1401
13/10/2014,257,37.6,7.1401
15/10/2014,258,37.6,7.1401
16/10/2014,259,37.6,7.1401
20/10/2014,260,37.6,7.1401
22/10/2014,261,40,7.1401
23/10/2014,262,40,7.1401
27/10/2014,263,37.6,7.1401
29/10/2014,264,37.6,7.1401
30/10/2014,265,37.6,7.1401
03/11/2014,266,37.6,7.1401
05/11/2014,267,37.6,7.1401
06/11/2014,268,37.6,7.1401
10/11/2014,269,37.6,7.1401
12/11/2014,271,37.6,7.1401
13/11/2014,271,37.6,7.1401
18/11/2014,272,37.6,7.1401
