Tenor,Issue Date,Maturity Date,Announced Amount(EGP Mio),Submitted Amount(EGP Mio),Accepted amount(EGP Mio),Fixed Rate (%)
7,22/03/2011,29/03/2011,"3,275","3,937","3,937",9.25
7,29/03/2011,05/04/2011,"6,000","6,897","6,897",9.25
7,05/04/2011,12/04/2011,"6,001","7,128","7,128",9.25
7,12/04/2011,19/04/2011,"3,956","5,186","5,186",9.25
7,19/04/2011,26/04/2011,"8,360","8,494","8,494",9.25
7,26/04/2011,03/05/2011,"6,001","9,067","9,067",9.25
7,03/05/2011,10/05/2011,"9,849","12,167","12,167",9.25
7,10/05/2011,17/05/2011,"4,879","7,390","7,390",9.25
7,17/05/2011,24/05/2011,"8,209","9,836","9,836",9.25
7,24/05/2011,31/05/2011,"6,000","6,477","6,477",9.25
7,31/05/2011,07/06/2011,"7,582","8,152","8,152",9.25
7,07/06/2011,14/06/2011,"5,256","9,696","9,696",9.25
7,14/06/2011,21/06/2011,"9,011","11,915","11,915",9.25
7,21/06/2011,28/06/2011,"6,419","9,410","9,410",9.25
7,28/06/2011,05/07/2011,"16,684","25,445","25,445",9.25
7,05/07/2011,12/07/2011,"1,606","2,332","2,332",9.25
7,12/07/2011,19/07/2011,"6,000","7,670","7,670",9.25
7,26/07/2011,02/08/2011,"3,713","5,299","5,299",9.25
7,02/08/2011,09/08/2011,"1,187","1,385","1,385",9.25
7,09/08/2011,16/08/2011,"8,000","9,834","9,834",9.25
7,16/08/2011,23/08/2011,"2,660","3,357","3,357",9.25
6,23/08/2011,29/08/2011,"8,825","14,302","14,302",9.25
8,29/08/2011,06/09/2011,"6,000","10,354","10,354",9.25
7,06/09/2011,13/09/2011,"10,000","19,464","19,464",9.25
7,13/09/2011,20/09/2011,"8,384","14,717","14,717",9.25
7,20/09/2011,27/09/2011,"9,000","20,792","20,792",9.25
7,27/09/2011,04/10/2011,"1,253","1,442","1,442",9.25
7,04/10/2011,11/10/2011,"2,300","2,559","2,559",9.25
7,11/10/2011,18/10/2011,650,990,990,9.25
7,18/10/2011,25/10/2011,"6,227","10,300","10,300",9.25
7,25/10/2011,01/11/2011,"5,001","9,663","9,663",9.25
8,01/11/2011,09/11/2011,"9,814","11,418","11,418",9.25
6,09/11/2011,15/11/2011,"6,198","6,765","6,765",9.25
7,15/11/2011,22/11/2011,"14,305","17,234","17,234",9.25
7,22/11/2011,29/11/2011,"6,517","7,071","7,071",9.25
7,29/11/2011,06/12/2011,"16,797","20,442","20,442",9.75
7,06/12/2011,13/12/2011,"10,399","17,840","17,840",9.75
7,13/12/2011,20/12/2011,"20,001","26,831","26,831",9.75
7,20/12/2011,27/12/2011,"17,915","23,335","23,335",9.75
7,27/12/2011,03/01/2012,"22,001","31,104","31,104",9.75
7,03/01/2012,10/01/2012,"11,517","15,029","15,029",9.75
