Auction Date,Issue Date,Tenor,Maturity Date,Announced Amount(EGP Mio),Submitted Amount(EGP Mio),Accepted amount(EGP Mio),Min. Yield (%),Max. Yield (%),Weighted Avg. Yield (%)
27/06/2002,27/06/2002,3,30/06/2002,"15,000,000","15,000,000","15,000,000",11,11,11
03/07/2002,03/07/2002,1,04/07/2002,"200,000,000","200,000,000","200,000,000",11,11,11
04/07/2002,04/07/2002,3,07/07/2002,"7,000,000","7,000,000","7,000,000",11,11,11
08/07/2002,08/07/2002,1,09/07/2002,"100,000,000","100,000,000","100,000,000",11,11,11
08/07/2002,08/07/2002,1,09/07/2002,"100,000,000","100,000,000","100,000,000",11,11,11
14/07/2002,14/07/2002,1,15/07/2002,"30,000,000","30,000,000","30,000,000",11,11,11
18/07/2002,18/07/2002,3,21/07/2002,"100,000,000","200,000,000","200,000,000",11,11,11
18/07/2002,18/07/2002,7,25/07/2002,"400,000,000","442,000,000","442,000,000",7.5,9.25,8.667
21/07/2002,21/07/2002,1,22/07/2002,"800,000,000","250,000,000","250,000,000",9,10,9.4
25/07/2002,25/07/2002,3,28/07/2002,"100,000,000","100,000,000","100,000,000",11,11,11
01/08/2002,01/08/2002,3,04/08/2002,"100,000,000","100,000,000","100,000,000",11,11,11
04/09/2002,04/09/2002,1,05/09/2002,"100,000,000","100,000,000","100,000,000",11,11,11
25/11/2002,25/11/2002,1,26/11/2002,"100,000,000","100,000,000","100,000,000",10,10,10
25/11/2002,25/11/2002,1,26/11/2002,"40,000,000","40,000,000","40,000,000",10,10,10
30/01/2003,30/01/2003,3,02/02/2003,"600,000,000","600,000,000","600,000,000",10,10,10
03/02/2003,03/02/2003,1,04/02/2003,"30,000,000","30,000,000","30,000,000",10,10,10
06/03/2003,06/03/2003,3,09/03/2003,"850,000,000","960,000,000","960,000,000",10,10,10
09/03/2003,09/03/2003,1,10/03/2003,"200,000,000","200,000,000","200,000,000",10,10,10
10/03/2003,10/03/2003,1,11/03/2003,"10,000,000","10,000,000","10,000,000",10,10,10
12/03/2003,12/03/2003,1,13/03/2003,"20,000,000","20,000,000","20,000,000",11.3,11.3,11.3
13/03/2003,13/03/2003,3,16/03/2003,"400,000,000","400,000,000","400,000,000",12,12,12
16/03/2003,16/03/2003,1,17/03/2003,"100,000,000","100,000,000","100,000,000",12,12,12
18/03/2003,18/03/2003,1,19/03/2003,"100,000,000","100,000,000","100,000,000",12,12,12
19/03/2003,19/03/2003,1,20/03/2003,"70,000,000","70,000,000","70,000,000",12,12,12
20/03/2003,20/03/2003,3,23/03/2003,"230,000,000","230,000,000","230,000,000",13.5,13.5,13.5
09/04/2003,09/04/2003,1,10/04/2003,"38,000,000","38,000,000","38,000,000",15.6,15.6,15.6
10/04/2003,10/04/2003,3,13/04/2003,"390,000,000","390,000,000","390,000,000",14.8,14.8,14.8
23/04/2003,23/04/2003,1,24/04/2003,"100,000,000","100,000,000","100,000,000",14.4,14.4,14.4
24/04/2003,24/04/2003,5,29/04/2003,"363,000,000","428,000,000","428,000,000",14.3,14.3,14.3
30/04/2003,30/04/2003,4,04/05/2003,"100,000,000","100,000,000","100,000,000",14.3,14.3,14.3
29/05/2003,29/05/2003,3,01/06/2003,"100,000,000","100,000,000","100,000,000",14.11,14.11,14.11
01/06/2003,01/06/2003,1,02/06/2003,"100,000,000","100,000,000","100,000,000",14.11,14.11,14.11
05/06/2003,05/06/2003,3,08/06/2003,"260,000,000","260,000,000","260,000,000",14.143,14.143,14.143
08/06/2003,08/06/2003,1,09/06/2003,"90,000,000","90,000,000","90,000,000",14.14,14.14,14.14
12/06/2003,12/06/2003,3,15/06/2003,"100,000,000","100,000,000","100,000,000",14.2,14.2,14.2
19/06/2003,19/06/2003,3,22/06/2003,"100,000,000","100,000,000","100,000,000",14.2,14.2,14.2
26/06/2003,26/06/2003,3,29/06/2003,"100,000,000","100,000,000","100,000,000",14.3,14.3,14.3
03/07/2003,03/07/2003,3,06/07/2003,"100,000,000","100,000,000","100,000,000",14.3,14.3,14.3
07/07/2003,07/07/2003,1,08/07/2003,"200,000,000",,,,,
07/07/2003,07/07/2003,1,08/07/2003,"200,000,000","200,000,000","200,000,000",14.3,14.3,14.3
14/09/2003,14/09/2003,1,15/09/2003,"600,000,000","600,000,000","600,000,000",12,12,12
15/09/2003,15/09/2003,1,16/09/2003,"450,000,000","450,000,000","450,000,000",12,12,12
22/10/2003,22/10/2003,1,23/10/2003,"38,750,000","38,750,000","38,750,000",10.9,10.9,10.9
09/11/2003,09/11/2003,1,10/11/2003,"90,000,000",,,,,
09/11/2003,09/11/2003,1,10/11/2003,"90,000,000","90,000,000","90,000,000",11.1,11.1,11.1
28/12/2003,28/12/2003,1,29/12/2003,"100,000,000","100,000,000","100,000,000",10.854,10.854,10.854
22/04/2004,22/04/2004,4,26/04/2004,"15,000,000","15,000,000","15,000,000",13.5,13.5,13.5
24/10/2004,24/10/2004,1,25/10/2004,"300,000,000","300,000,000","300,000,000",14.9,14.9,14.9
11/04/2005,11/04/2005,1,12/04/2005,"60,000,000","60,000,000","60,000,000",13.9,13.9,13.9
11/02/2012,11/02/2012,28,30/10/2012,"7,000,000,000",0,0,16.000,"7,000,000,000.000",9.830
10/07/2012,10/07/2012,28,07/08/2012,"10,000,000,000","11,472,000,000","10,000,000,000",9.79,9.93,9.818
06/08/2012,07/08/2012,28,04/09/2012,"7,001,000,000","7,001,000,000","7,001,000,000",9.78,9.9,9.83
03/09/2012,04/09/2012,28,02/10/2012,"6,000,000,000","8,323,000,000","6,000,000,000",9.8,9.88,9.833
02/10/2012,02/10/2012,28,30/10/2012,"7,000,000,000","8,824,000,000","7,000,000,000",9.83,9.92,9.853
