Issue Date,ISIN,Tenor (Years),Type (New / Reopening),Required Amount,Submitted Amount,Accepted Amount,Return (%),Return Frequency,Min. Yield (%),Max. Yield (%),Weighted Avg. Yield (%)
18/11/2025,EGKGU00021F2,3,R,"3,000,000,000","33,300,000,000","10,000,000,000",21.561,Semi-annual,21.250,21.250,21.250
04/11/2025,EGKGU00021F2,3,N,"3,000,000,000","14,955,000,000","3,000,000,000",21.561,Semi-annual,21.490,21.600,21.561
30/12/2025,EGKGU00031F1,3,R,"5,000,000,000","5,621,000,000","3,900,000,000",21.224,Semi-annual,21.000,21.150,21.070
16/12/2025,EGKGU00031F1,3,R,"5,000,000,000","7,575,000,000","4,384,000,000",21.224,Semi-annual,21.150,21.250,21.243
02/12/2025,EGKGU00031F1,3,N,"4,000,000,000","8,152,000,000","5,502,000,000",21.224,Semi-annual,21.100,21.250,21.224
27/01/2026,EGKGU00041F0,3,R,"5,000,000,000","1,984,000,000","900,000,000",21.091,Semi-annual,20.850,21.000,20.966
13/01/2026,EGKGU00041F0,3,N,"7,000,000,000","6,019,000,000","3,000,000,000",21.091,Semi-annual,21.000,21.120,21.091
24/02/2026,EGKGU00051F9,3,R,"6,000,000,000","7,950,000,000","7,800,000,000",20.897,Semi-annual,20.900,21.000,20.969
10/02/2026,EGKGU00051F9,3,N,"5,000,000,000","7,711,000,000","6,061,000,000",20.897,Semi-annual,20.840,20.900,20.897
19/05/2026,EGKGU00061F8,3,R,"1,500,000,000","1,362,000,000","250,000,000",21.300,Semi-annual,22.490,22.670,22.602
05/05/2026,EGKGU00061F8,3,R,"1,000,000,000","1,125,000,000","800,000,000",21.300,Semi-annual,21.900,22.290,22.095
21/04/2026,EGKGU00061F8,3,R,"4,000,000,000","2,153,000,000","306,000,000",21.300,Semi-annual,21.250,21.790,21.632
24/03/2026,EGKGU00061F8,3,R,"6,000,000,000","2,700,000,000","150,000,000",21.300,Semi-annual,21.480,21.480,21.480
10/03/2026,EGKGU00061F8,3,N,"5,000,000,000","1,871,000,000","100,000,000",21.300,Semi-annual,21.250,21.350,21.300
23/06/2026,EGKGU00081F6,3,R,"1,500,000,000","1,817,000,000","1,200,000,000",22.983,Semi-annual,23.100,23.100,23.100
16/06/2026,EGKGU00081F6,3,N,"1,500,000,000","1,267,000,000","600,000,000",22.983,Semi-annual,22.880,23.100,22.983
