Issue Date,ISIN,Tenor (Years),Type (New / Reopening),Required Amount,Submitted Amount,Accepted Amount,Coupon Rate (%),Coupon Frequency,Min. Yield (%),Max. Yield (%),Weighted Avg. Yield (%)
14/02/2006,EGBGR00241F2,2,N,,"5,611,200,000","2,000,000,000",8.515,,8.45,8.54,8.514
04/10/2005,EGBGR00191F9,3,N,,"3,748,000,000","2,000,000,000",9.078,,9,9.125,9.064
07/12/2004,,4,N,,"7,857,820,000","3,000,000,000",10.927,,10.5,11,10.956
08/11/2005,,4,R,,"3,114,750,000","2,000,000,000",9.137,,9,9.19,9.114
02/08/2005,EGBGR00161F2,4,N,,"4,601,400,000","2,000,000,000",9.242,,9,9.31,9.238
03/01/2006,EGBGR00221F4,4,N,,"3,736,250,000","2,000,000,000",9.049,,8.9,9.1,9.047
02/05/2006,,4,N,,"2,661,250,000","2,000,000,000",8.968,,8.7,9.03,8.969
12/07/2005,EGBGR00151F3,5,N,,"6,786,812,000","2,000,000,000",9.1,,8.875,9.22,9.109
16/08/2005,,5,N,,"3,979,285,000","2,000,000,000",9.371,,9.1,9.45,9.358
18/10/2005,EGBGR00201F6,5,N,,"3,708,800,000","2,000,000,000",9.117,,9,9.15,9.108
11/12/2007,,5,R,,"3,953,502,000","2,000,000,000",8.383,,8.24,8.51,8.399
28/02/2006,,5,N,,"4,940,496,000","2,000,000,000",8.597,,8.55,8.62,8.594
21/07/2009,,2,R,,"5,247,000,000","3,000,000,000",10.521,,10.3,10.6,10.524
07/07/2009,,2,N,,"4,100,000,000","500,000,000",10.602,,10.5,10.64,10.61
08/02/2005,,7,R,,"5,741,502,000","2,000,000,000",10.745,,10.49,10.78,10.748
26/10/2004,EGBGR00111F7,7,N,,"6,878,190,000","3,000,000,000",11.503,,10.15,11.75,11.486
24/02/2009,,3,R,,"8,227,500,000","3,000,000,000",10.824,,10.73,10.89,10.827
13/01/2009,EGBGR00391F5,3,N,,"10,119,400,000","3,000,000,000",12.072,,11.78,12.23,12.087
30/11/2010,EGBGR00421F0,3,R,"1,000,000,000","2,537,900,000","1,000,000,000",10.643,,10.6,10.67,10.633
