ISIN,Issue Date,Tenor (Years),Type (New / Reopening),Original Issue Date,Benchmark,Benchmark at issuance (%),Coupon Frequency,Required Amount,Submitted Amount,Accepted Amount,Min. Yield (%),Max. Yield (%),Weighted Avg. Yield (%),Coupon at issuance (%),Spread (%)
EGBGR04551V7,24/01/2023,3,N,24/01/2023,Mid Corridor rate,16.750,4,"1,000,000,000","5,759,000,000","2,150,000,000",21.000,21.500,21.259,21.259,4.509
EGBGR04561V6,28/02/2023,3,R,14/02/2023,Mid Corridor rate,16.750,4,"1,000,000,000","671,000,000","50,000,000",21.800,21.800,21.800,21.602,4.852
EGBGR04561V6,14/02/2023,3,N,14/02/2023,Mid Corridor rate,16.750,4,"1,000,000,000","3,671,000,000","2,300,000,000",21.500,21.700,21.602,21.602,4.852
EGBGR04571V5,28/03/2023,3,R,14/03/2023,Mid Corridor Rate,16.750,4,"1,000,000,000","2,354,000,000","250,000,000",22.100,22.160,22.134,22.000,5.25
EGBGR04571V5,14/03/2023,3,N,14/03/2023,Mid Corridor rate,16.750,4,"1,000,000,000","3,872,000,000","1,000,000,000",22.000,22.000,22.000,22.000,5.25
EGBGR04691V1,25/04/2023,3,N,25/04/2023,Mid Corridor Rate,18.750,4,"1,000,000,000","2,634,000,000","1,188,000,000",24.000,24.160,24.093,24.093,5.343
EGBGR04741V4,23/05/2023,3,N,23/05/2023,Mid Corridor Rate,18.750,4,"1,000,000,000","1,171,000,000","50,000,000",24.150,24.150,24.150,24.150,5.4
EGBGR04651V5,06/06/2023,3,N,06/06/2023,Mid Corridor Rate,18.750,4,"1,000,000,000","791,000,000","50,000,000",24.150,24.150,24.150,24.150,5.4
EGBGR04781V0,05/09/2023,3,R,11/07/2023,Mid Corridor Rate,18.750,4,"750,000,000","809,250,000","100,000,000",25.250,25.250,25.250,24.250,5.5
EGBGR04781V0,22/08/2023,3,R,11/07/2023,Mid Corridor Rate,18.750,4,"750,000,000","757,250,000","250,000,000",25.250,25.250,25.250,24.250,5.5
EGBGR04781V0,08/08/2023,3,R,11/07/2023,Mid Corridor Rate,18.750,4,"750,000,000","1,654,250,000","925,000,000",25.250,25.250,25.250,24.250,5.5
EGBGR04781V0,25/07/2023,3,R,11/07/2023,Mid Corridor Rate,18.750,4,"750,000,000","708,250,000","565,000,000",24.250,24.250,24.250,24.250,5.5
EGBGR04781V0,11/07/2023,3,N,11/07/2023,Mid Corridor Rate,18.750,4,"1,000,000,000","671,000,000","485,000,000",24.250,24.250,24.250,24.250,5.5
EGBGR04861V0,12/12/2023,3,R,03/10/2023,MID Corridor rate,19.750,4,"500,000,000","374,500,000","50,000,000",25.250,25.250,25.250,25.250,5.5
EGBGR04861V0,28/11/2023,3,R,03/10/2023,MID Corridor rate,19.750,4,"750,000,000","554,250,000","60,000,000",25.250,25.250,25.250,25.250,5.5
EGBGR04861V0,03/10/2023,3,N,03/10/2023,Mid Corridor Rate,19.750,4,"750,000,000","689,250,000","145,000,000",25.250,25.250,25.250,25.250,5.5
EGBGR05841V1,24/09/2024,3,R,13/08/2024,MID Corridor Rate,27.7500,4,"2,000,000,000","11,190,550,000","2,000,000,000",34.6000,34.7600,34.7280,35.0553,0.2942
EGBGR05841V1,10/09/2024,3,R,13/08/2024,MID Corridor Rate,27.7500,4,"2,000,000,000","11,295,540,000","2,949,540,000",34.7500,34.9000,34.8567,35.0553,0.2942
EGBGR05841V1,27/08/2024,3,R,13/08/2024,MID Corridor Rate,27.7500,4,"2,000,000,000","9,956,000,000","4,247,000,000",34.9000,35.0000,34.9941,35.0553,0.2942
EGBGR05841V1,13/08/2024,3,N,13/08/2024,MID Corridor Rate,27.750,4,"2,000,000,000","3,659,000,000","380,000,000",35.000,35.188,35.0553,35.0553,0.2942
EGBGR05961V7,31/12/2024,3,R,08/10/2024,MID Corridor Rate,27.7500,4,"1,000,000,000","6,147,500,000","4,000,000,000",34.6700,34.6700,34.6700,34.6621,-0.0203
EGBGR05961V7,24/12/2024,3,R,08/10/2024,MID Corridor Rate,27.7500,4,"1,000,000,000","10,667,500,000","300,000,000",34.8500,34.8900,34.8700,34.6621,-0.0203
EGBGR05961V7,10/12/2024,3,R,08/10/2024,MID Corridor Rate,27.7500,4,"2,000,000,000","9,669,220,000","4,635,220,000",34.5500,35.0500,34.8645,34.6621,-0.0203
EGBGR05961V7,26/11/2024,3,R,08/10/2024,MID Corridor Rate,27.7500,4,"2,000,000,000","4,216,815,000","1,651,815,000",34.5500,34.7000,34.6806,34.6621,-0.02
EGBGR05961V7,12/11/2024,3,R,08/10/2024,MID Corridor Rate,27.7500,4,"2,000,000,000","2,907,600,000","704,600,000",34.5500,34.7000,34.6942,34.6621,-0.0203
EGBGR05961V7,22/10/2024,3,R,08/10/2024,MID Corridor Rate,27.7500,4,"2,000,000,000","3,827,750,000","2,780,750,000",34.5500,34.7000,34.6954,34.6621,-0.0203
