Issue Date,ISIN,Tenor (days),Type (New / Reopening),Required Amount,Submitted Amount,Accepted Amount,Min. Yield (%),Max. Yield (%),Weighted Avg. Yield (%)
17/09/2013,EGBGR00921F9,546,N,"1,000,000,000","3,164,400,000","1,000,000,000",10.65,10.82,10.745
24/09/2013,EGBGR00931F8,546,N,"1,000,000,000","2,887,400,000","1,000,000,000",11.7,12.1,12.017
29/10/2013,EGBGR00941F7,525,N,"1,500,000,000","2,584,600,000","1,500,000,000",11.38,11.57,11.448
08/10/2013,EGBGR00941F7,546,N,"1,500,000,000","3,761,600,000","1,500,000,000",11.22,11.41,11.318
26/11/2013,EGBGR00951F6,532,N,"1,500,000,000","3,041,725,000","1,500,000,000",11.55,11.7,11.646
12/11/2013,EGBGR00951F6,546,N,"1,500,000,000","2,558,150,000","1,500,000,000",11.45,11.73,11.603
07/01/2014,EGPGR01041F5,546,N,"2,000,000,000","3,626,875,000","2,000,000,000",11.24,11.62,11.456
25/02/2014,EGBGR01131F4,532,N,"2,000,000,000","2,882,800,000","2,000,000,000",11.33,11.5,11.427
11/02/2014,EGBGR01131F4,546,N,"2,000,000,000","2,977,300,000","2,000,000,000",11.25,11.54,11.402
18/03/2014,EGBGR01061F3,532,N,"2,000,000,000","4,191,050,000","2,000,000,000",11.47,11.54,11.52
04/03/2014,EGBGR01061F3,546,N,"2,000,000,000","4,188,300,000","2,000,000,000",11.5,11.59,11.548
29/04/2014,EGBGR01151F2,532,N,"1,500,000,000","2,158,600,000","1,500,000,000",11.42,11.648,11.577
15/04/2014,EGBGR01151F2,546,N,"1,500,000,000","3,117,890,000","1,500,000,000",11.42,11.5,11.469
27/05/2014,EGBGR01161F1,532,N,"1,500,000,000","2,223,600,000","1,500,000,000",11.37,11.46,11.433
13/05/2014,EGBGR01161F1,546,N,"1,500,000,000","3,149,670,000","1,500,000,000",11.4,11.49,11.471
24/06/2014,EGBGR01171F0,532,N,"1,500,000,000","3,264,600,000","1,500,000,000",11.35,11.41,11.379
10/06/2014,EGBGR01171F0,546,N,"1,500,000,000","2,668,940,000","1,500,000,000",11.39,11.46,11.44
22/07/2014,EGBGR01221F3,532,N,"1,500,000,000","2,076,600,000","170,000,000",12.75,12.95,12.86
08/07/2014,EGBGR01221F3,546,N,"1,500,000,000","2,797,000,000","1,500,000,000",11.35,11.645,11.579
19/08/2014,EGBGR01231F2,532,N,"1,500,000,000","2,347,000,000","1,063,100,000",12.4,12.6,12.58
05/08/2014,EGBGR01231F2,546,N,"1,500,000,000","2,473,600,000","1,500,000,000",12.334,12.9,12.874
30/09/2014,EGBGR01241F1,532,N,"1,000,000,000","1,678,400,000","1,000,000,000",12.64,12.78,12.724
16/09/2014,EGBGR01241F1,546,N,"1,500,000,000","1,929,100,000","1,058,100,000",12.75,12.94,12.867
28/10/2014,EGBGR01291F6,532,N,"1,500,000,000","2,959,200,000","1,500,000,000",12.7,12.74,12.718
14/10/2014,EGBGR01291F6,546,N,"1,500,000,000","2,306,600,000","1,500,000,000",12.7,12.82,12.778
