series_id,period,value
EG.CONIA.ON.RATE,2016-12-29,14.961
EG.CONIA.ON.RATE,2017-01-02,14.864
EG.CONIA.ON.RATE,2017-01-03,14.945
EG.CONIA.ON.RATE,2017-01-04,14.937
EG.CONIA.ON.RATE,2017-01-05,14.991
EG.CONIA.ON.RATE,2017-01-08,14.98
EG.CONIA.ON.RATE,2017-01-09,15.008
EG.CONIA.ON.RATE,2017-01-10,15.027
EG.CONIA.ON.RATE,2017-01-11,15.27
EG.CONIA.ON.RATE,2017-01-12,15.371
EG.CONIA.ON.RATE,2017-01-15,15.096
EG.CONIA.ON.RATE,2017-01-16,14.931
EG.CONIA.ON.RATE,2017-01-17,15.076
EG.CONIA.ON.RATE,2017-01-18,15.096
EG.CONIA.ON.RATE,2017-01-19,15.257
EG.CONIA.ON.RATE,2017-01-22,15.285
EG.CONIA.ON.RATE,2017-01-23,15.285
EG.CONIA.ON.RATE,2017-01-24,15.132
EG.CONIA.ON.RATE,2017-01-26,15.059
EG.CONIA.ON.RATE,2017-01-29,15.204
EG.CONIA.ON.RATE,2017-01-30,14.916
EG.CONIA.ON.RATE,2017-01-31,15.298
EG.CONIA.ON.RATE,2017-02-01,15.359
EG.CONIA.ON.RATE,2017-02-02,15.344
EG.CONIA.ON.RATE,2017-02-05,15.329
EG.CONIA.ON.RATE,2017-02-06,15.347
EG.CONIA.ON.RATE,2017-02-07,15.452
EG.CONIA.ON.RATE,2017-02-08,15.302
EG.CONIA.ON.RATE,2017-02-09,15.302
EG.CONIA.ON.RATE,2017-02-12,15.072
EG.CONIA.ON.RATE,2017-02-13,15.172
EG.CONIA.ON.RATE,2017-02-14,15.021
EG.CONIA.ON.RATE,2017-02-15,15.359
EG.CONIA.ON.RATE,2017-02-16,15.349
EG.CONIA.ON.RATE,2017-02-19,15.362
EG.CONIA.ON.RATE,2017-02-20,15.151
EG.CONIA.ON.RATE,2017-02-21,15.076
EG.CONIA.ON.RATE,2017-02-22,15.407
EG.CONIA.ON.RATE,2017-02-23,15.644
EG.CONIA.ON.RATE,2017-02-26,15.64
EG.CONIA.ON.RATE,2017-02-27,15.131
EG.CONIA.ON.RATE,2017-02-28,15.645
EG.CONIA.ON.RATE,2017-03-01,15.741
EG.CONIA.ON.RATE,2017-03-02,15.749
EG.CONIA.ON.RATE,2017-03-05,15.696
EG.CONIA.ON.RATE,2017-03-06,15.744
EG.CONIA.ON.RATE,2017-03-07,15.408
EG.CONIA.ON.RATE,2017-03-08,15.346
EG.CONIA.ON.RATE,2017-03-09,15.209
EG.CONIA.ON.RATE,2017-03-12,14.995
EG.CONIA.ON.RATE,2017-03-13,14.808
EG.CONIA.ON.RATE,2017-03-14,15.712
EG.CONIA.ON.RATE,2017-03-15,15.746
EG.CONIA.ON.RATE,2017-03-16,15.707
EG.CONIA.ON.RATE,2017-03-19,15.681
EG.CONIA.ON.RATE,2017-03-20,15.681
EG.CONIA.ON.RATE,2017-03-21,15.55
EG.CONIA.ON.RATE,2017-03-22,15.466
EG.CONIA.ON.RATE,2017-03-23,15.339
EG.CONIA.ON.RATE,2017-03-26,15.032
EG.CONIA.ON.RATE,2017-03-27,14.994
EG.CONIA.ON.RATE,2017-03-28,15.497
EG.CONIA.ON.RATE,2017-03-29,15.622
EG.CONIA.ON.RATE,2017-03-30,15.693
EG.CONIA.ON.RATE,2017-04-02,15.718
EG.CONIA.ON.RATE,2017-04-03,15.733
EG.CONIA.ON.RATE,2017-04-04,15.715
EG.CONIA.ON.RATE,2017-04-05,15.697
EG.CONIA.ON.RATE,2017-04-06,15.368
