series_id,period,value
EG.CONIA.IDX.180D,2017-07-02,16.5596
EG.CONIA.IDX.180D,2017-07-03,16.5765
EG.CONIA.IDX.180D,2017-07-04,16.5922
EG.CONIA.IDX.180D,2017-07-05,16.6091
EG.CONIA.IDX.180D,2017-07-06,16.6259
EG.CONIA.IDX.180D,2017-07-09,16.6761
EG.CONIA.IDX.180D,2017-07-10,16.7046
EG.CONIA.IDX.180D,2017-07-11,16.7316
EG.CONIA.IDX.180D,2017-07-12,16.758
EG.CONIA.IDX.180D,2017-07-13,16.784
EG.CONIA.IDX.180D,2017-07-16,16.8583
EG.CONIA.IDX.180D,2017-07-17,16.8809
EG.CONIA.IDX.180D,2017-07-18,16.9032
EG.CONIA.IDX.180D,2017-07-19,16.93
EG.CONIA.IDX.180D,2017-07-20,16.9569
EG.CONIA.IDX.180D,2017-07-24,17.0651
EG.CONIA.IDX.180D,2017-07-25,17.0928
EG.CONIA.IDX.180D,2017-07-26,17.1207
EG.CONIA.IDX.180D,2017-07-27,17.1479
EG.CONIA.IDX.180D,2017-07-30,17.2192
EG.CONIA.IDX.180D,2017-07-31,17.2406
EG.CONIA.IDX.180D,2017-08-01,17.2614
EG.CONIA.IDX.180D,2017-08-02,17.2863
EG.CONIA.IDX.180D,2017-08-03,17.3114
EG.CONIA.IDX.180D,2017-08-06,17.3788
EG.CONIA.IDX.180D,2017-08-07,17.4002
EG.CONIA.IDX.180D,2017-08-08,17.4227
EG.CONIA.IDX.180D,2017-08-09,17.4447
EG.CONIA.IDX.180D,2017-08-10,17.4668
EG.CONIA.IDX.180D,2017-08-13,17.5339
EG.CONIA.IDX.180D,2017-08-14,17.5567
EG.CONIA.IDX.180D,2017-08-15,17.5775
EG.CONIA.IDX.180D,2017-08-16,17.6002
EG.CONIA.IDX.180D,2017-08-17,17.6221
EG.CONIA.IDX.180D,2017-08-20,17.6889
EG.CONIA.IDX.180D,2017-08-21,17.7123
EG.CONIA.IDX.180D,2017-08-22,17.734
EG.CONIA.IDX.180D,2017-08-23,17.7542
EG.CONIA.IDX.180D,2017-08-24,17.7738
EG.CONIA.IDX.180D,2017-08-27,17.8359
EG.CONIA.IDX.180D,2017-08-28,17.855
EG.CONIA.IDX.180D,2017-08-29,17.874
EG.CONIA.IDX.180D,2017-08-30,17.8934
EG.CONIA.IDX.180D,2017-09-05,18.0192
EG.CONIA.IDX.180D,2017-09-06,18.0426
EG.CONIA.IDX.180D,2017-09-07,18.0656
EG.CONIA.IDX.180D,2017-09-10,18.1361
EG.CONIA.IDX.180D,2017-09-11,18.1548
EG.CONIA.IDX.180D,2017-09-12,18.1733
EG.CONIA.IDX.180D,2017-09-13,18.1938
EG.CONIA.IDX.180D,2017-09-14,18.2141
EG.CONIA.IDX.180D,2017-09-17,18.275
EG.CONIA.IDX.180D,2017-09-18,18.2959
EG.CONIA.IDX.180D,2017-09-19,18.3174
EG.CONIA.IDX.180D,2017-09-20,18.3397
EG.CONIA.IDX.180D,2017-09-24,18.4302
EG.CONIA.IDX.180D,2017-09-25,18.4504
EG.CONIA.IDX.180D,2017-09-26,18.4695
EG.CONIA.IDX.180D,2017-09-27,18.4895
EG.CONIA.IDX.180D,2017-09-28,18.5095
EG.CONIA.IDX.180D,2017-10-01,18.5688
EG.CONIA.IDX.180D,2017-10-02,18.589
EG.CONIA.IDX.180D,2017-10-03,18.6095
EG.CONIA.IDX.180D,2017-10-04,18.6317
EG.CONIA.IDX.180D,2017-10-08,18.7229
EG.CONIA.IDX.180D,2017-10-09,18.7426
EG.CONIA.IDX.180D,2017-10-10,18.7613
EG.CONIA.IDX.180D,2017-10-11,18.7842
EG.CONIA.IDX.180D,2017-10-12,18.8074
EG.CONIA.IDX.180D,2017-10-15,18.8706
