series_id,period,value
EG.RATE.ON.DEP,2014-07-20,9.25
EG.RATE.ON.DEP,2015-01-18,8.75
EG.RATE.ON.DEP,2015-12-27,9.25
EG.RATE.ON.DEP,2016-03-20,10.75
EG.RATE.ON.DEP,2016-06-19,11.75
EG.RATE.ON.DEP,2016-11-03,14.75
EG.RATE.ON.DEP,2017-05-22,16.75
EG.RATE.ON.DEP,2017-07-09,18.75
EG.RATE.ON.DEP,2018-02-18,17.75
EG.RATE.ON.DEP,2018-04-01,16.75
EG.RATE.ON.DEP,2019-02-17,15.75
EG.RATE.ON.DEP,2019-08-25,14.25
EG.RATE.ON.DEP,2019-09-29,13.25
EG.RATE.ON.DEP,2019-11-17,12.25
EG.RATE.ON.DEP,2020-03-17,9.25
EG.RATE.ON.DEP,2020-09-27,8.75
EG.RATE.ON.DEP,2020-11-15,8.25
EG.RATE.ON.DEP,2022-03-21,9.25
EG.RATE.ON.DEP,2022-05-22,11.25
EG.RATE.ON.DEP,2022-10-27,13.25
EG.RATE.ON.DEP,2022-12-25,16.25
EG.RATE.ON.DEP,2023-04-02,18.25
EG.RATE.ON.DEP,2023-08-06,19.25
EG.RATE.ON.DEP,2024-02-04,21.25
EG.RATE.ON.DEP,2024-03-06,27.25
EG.RATE.ON.DEP,2025-04-22,25.0
EG.RATE.ON.DEP,2025-05-25,24.0
EG.RATE.ON.DEP,2025-08-31,22.0
EG.RATE.ON.DEP,2025-10-05,21.0
EG.RATE.ON.DEP,2025-12-28,20.0
EG.RATE.ON.DEP,2026-02-15,19.0
EG.RATE.ON.LEND,2014-07-20,10.25
EG.RATE.ON.LEND,2015-01-18,9.75
EG.RATE.ON.LEND,2015-12-27,10.25
EG.RATE.ON.LEND,2016-03-20,11.75
EG.RATE.ON.LEND,2016-06-19,12.75
EG.RATE.ON.LEND,2016-11-03,15.75
EG.RATE.ON.LEND,2017-05-22,17.75
EG.RATE.ON.LEND,2017-07-09,19.75
EG.RATE.ON.LEND,2018-02-18,18.75
EG.RATE.ON.LEND,2018-04-01,17.75
EG.RATE.ON.LEND,2019-02-17,16.75
EG.RATE.ON.LEND,2019-08-25,15.25
EG.RATE.ON.LEND,2019-09-29,14.25
EG.RATE.ON.LEND,2019-11-17,13.25
EG.RATE.ON.LEND,2020-03-17,10.25
EG.RATE.ON.LEND,2020-09-27,9.75
EG.RATE.ON.LEND,2020-11-15,9.25
EG.RATE.ON.LEND,2022-03-21,10.25
EG.RATE.ON.LEND,2022-05-22,12.25
EG.RATE.ON.LEND,2022-10-27,14.25
EG.RATE.ON.LEND,2022-12-25,17.25
EG.RATE.ON.LEND,2023-04-02,19.25
EG.RATE.ON.LEND,2023-08-06,20.25
EG.RATE.ON.LEND,2024-02-04,22.25
EG.RATE.ON.LEND,2024-03-06,28.25
EG.RATE.ON.LEND,2025-04-22,26.0
EG.RATE.ON.LEND,2025-05-25,25.0
EG.RATE.ON.LEND,2025-08-31,23.0
EG.RATE.ON.LEND,2025-10-05,22.0
EG.RATE.ON.LEND,2025-12-28,21.0
EG.RATE.ON.LEND,2026-02-15,20.0
