series_id,period,value
EG.CPI.HDL.INDEX,2004-12-01,100.0
EG.CPI.HDL.INDEX,2005-01-01,100.234
EG.CPI.HDL.INDEX,2005-02-01,99.792
EG.CPI.HDL.INDEX,2005-03-01,100.3249
EG.CPI.HDL.INDEX,2005-04-01,100.979
EG.CPI.HDL.INDEX,2005-05-01,101.4081
EG.CPI.HDL.INDEX,2005-06-01,101.1982
EG.CPI.HDL.INDEX,2005-07-01,101.5615
EG.CPI.HDL.INDEX,2005-08-01,101.7728
EG.CPI.HDL.INDEX,2005-09-01,102.2226
EG.CPI.HDL.INDEX,2005-10-01,102.8441
EG.CPI.HDL.INDEX,2005-11-01,103.0231
EG.CPI.HDL.INDEX,2005-12-01,103.1343
EG.CPI.HDL.INDEX,2006-01-01,103.65
EG.CPI.HDL.INDEX,2006-02-01,103.7692
EG.CPI.HDL.INDEX,2006-03-01,104.0182
EG.CPI.HDL.INDEX,2006-04-01,105.4443
EG.CPI.HDL.INDEX,2006-05-01,106.8183
EG.CPI.HDL.INDEX,2006-06-01,108.5402
EG.CPI.HDL.INDEX,2006-07-01,110.0728
EG.CPI.HDL.INDEX,2006-08-01,110.807
EG.CPI.HDL.INDEX,2006-09-01,111.9926
EG.CPI.HDL.INDEX,2006-10-01,115.0018
EG.CPI.HDL.INDEX,2006-11-01,115.5423
EG.CPI.HDL.INDEX,2006-12-01,115.8994
EG.CPI.HDL.INDEX,2007-01-01,116.5496
EG.CPI.HDL.INDEX,2007-02-01,116.8619
EG.CPI.HDL.INDEX,2007-03-01,117.3422
EG.CPI.HDL.INDEX,2007-04-01,117.7647
EG.CPI.HDL.INDEX,2007-05-01,117.535
EG.CPI.HDL.INDEX,2007-06-01,117.7231
EG.CPI.HDL.INDEX,2007-07-01,118.925
EG.CPI.HDL.INDEX,2007-08-01,120.2094
EG.CPI.HDL.INDEX,2007-09-01,121.837
EG.CPI.HDL.INDEX,2007-10-01,123.0384
EG.CPI.HDL.INDEX,2007-11-01,122.919
EG.CPI.HDL.INDEX,2007-12-01,123.4426
EG.CPI.HDL.INDEX,2008-01-01,128.3347
EG.CPI.HDL.INDEX,2008-02-01,130.6704
EG.CPI.HDL.INDEX,2008-03-01,133.8823
EG.CPI.HDL.INDEX,2008-04-01,136.6335
EG.CPI.HDL.INDEX,2008-05-01,140.2926
EG.CPI.HDL.INDEX,2008-06-01,141.1498
EG.CPI.HDL.INDEX,2008-07-01,144.3186
EG.CPI.HDL.INDEX,2008-08-01,147.7866
EG.CPI.HDL.INDEX,2008-09-01,148.1767
EG.CPI.HDL.INDEX,2008-10-01,148.0285
EG.CPI.HDL.INDEX,2008-11-01,147.8805
EG.CPI.HDL.INDEX,2008-12-01,145.9595
EG.CPI.HDL.INDEX,2009-01-01,146.6266
EG.CPI.HDL.INDEX,2009-02-01,148.2145
EG.CPI.HDL.INDEX,2009-03-01,150.0435
EG.CPI.HDL.INDEX,2009-04-01,152.5792
EG.CPI.HDL.INDEX,2009-05-01,154.4254
EG.CPI.HDL.INDEX,2009-06-01,155.1204
EG.CPI.HDL.INDEX,2009-07-01,158.533
EG.CPI.HDL.INDEX,2009-08-01,160.911
EG.CPI.HDL.INDEX,2009-09-01,163.5773
EG.CPI.HDL.INDEX,2009-10-01,165.7431
EG.CPI.HDL.INDEX,2009-11-01,165.6287
EG.CPI.HDL.INDEX,2009-12-01,164.3628
EG.CPI.HDL.INDEX,2010-01-01,165.2767
EG.CPI.HDL.INDEX,2010-02-01,165.6023
EG.CPI.HDL.INDEX,2010-03-01,166.6969
EG.CPI.HDL.INDEX,2010-04-01,167.8271
EG.CPI.HDL.INDEX,2010-05-01,168.5873
EG.CPI.HDL.INDEX,2010-06-01,169.3005
EG.CPI.HDL.INDEX,2010-07-01,173.5448
EG.CPI.HDL.INDEX,2010-08-01,178.4961
EG.CPI.HDL.INDEX,2010-09-01,181.5109
EG.CPI.HDL.INDEX,2010-10-01,183.9976
EG.CPI.HDL.INDEX,2010-11-01,182.498
EG.CPI.HDL.INDEX,2010-12-01,181.2588
EG.CPI.HDL.INDEX,2011-01-01,183.1077
EG.CPI.HDL.INDEX,2011-02-01,183.3365
EG.CPI.HDL.INDEX,2011-03-01,185.8446
EG.CPI.HDL.INDEX,2011-04-01,188.097
EG.CPI.HDL.INDEX,2011-05-01,188.4807
EG.CPI.HDL.INDEX,2011-06-01,189.2648
EG.CPI.HDL.INDEX,2011-07-01,191.5322
EG.CPI.HDL.INDEX,2011-08-01,193.6429
EG.CPI.HDL.INDEX,2011-09-01,196.4197
EG.CPI.HDL.INDEX,2011-10-01,197.0699
EG.CPI.HDL.INDEX,2011-11-01,199.0485
EG.CPI.HDL.INDEX,2011-12-01,198.5708
EG.CPI.HDL.INDEX,2012-01-01,198.8587
EG.CPI.HDL.INDEX,2012-02-01,200.1811
EG.CPI.HDL.INDEX,2012-03-01,202.6193
EG.CPI.HDL.INDEX,2012-04-01,204.607
EG.CPI.HDL.INDEX,2012-05-01,204.1221
EG.CPI.HDL.INDEX,2012-06-01,202.9953
EG.CPI.HDL.INDEX,2012-07-01,203.7748
EG.CPI.HDL.INDEX,2012-08-01,206.1631
EG.CPI.HDL.INDEX,2012-09-01,208.637
EG.CPI.HDL.INDEX,2012-10-01,210.2769
EG.CPI.HDL.INDEX,2012-11-01,207.5181
EG.CPI.HDL.INDEX,2012-12-01,207.8294
EG.CPI.HDL.INDEX,2013-01-01,211.3354
EG.CPI.HDL.INDEX,2013-02-01,216.6167
EG.CPI.HDL.INDEX,2013-03-01,217.9966
EG.CPI.HDL.INDEX,2013-04-01,221.2033
EG.CPI.HDL.INDEX,2013-05-01,220.856
EG.CPI.HDL.INDEX,2013-06-01,222.7929
