series_id,period,value
EG.RATE.DISCOUNT,1991-01-03,16.2
EG.RATE.DISCOUNT,1991-01-10,16.55
EG.RATE.DISCOUNT,1991-01-17,16.75
EG.RATE.DISCOUNT,1991-01-31,17.0
EG.RATE.DISCOUNT,1991-02-14,17.5
EG.RATE.DISCOUNT,1991-02-21,17.7
EG.RATE.DISCOUNT,1991-02-28,18.2
EG.RATE.DISCOUNT,1991-03-07,19.4
EG.RATE.DISCOUNT,1991-03-21,19.7
EG.RATE.DISCOUNT,1991-03-28,20.0
EG.RATE.DISCOUNT,1991-05-02,19.7
EG.RATE.DISCOUNT,1991-05-09,20.0
EG.RATE.DISCOUNT,1991-05-16,20.2
EG.RATE.DISCOUNT,1991-05-23,20.6
EG.RATE.DISCOUNT,1991-06-06,20.9
EG.RATE.DISCOUNT,1991-06-20,21.0
EG.RATE.DISCOUNT,1991-07-04,21.3
EG.RATE.DISCOUNT,1991-07-25,21.5
EG.RATE.DISCOUNT,1991-08-01,21.3
EG.RATE.DISCOUNT,1991-10-03,21.5
EG.RATE.DISCOUNT,1991-10-24,21.4
EG.RATE.DISCOUNT,1991-11-07,21.3
EG.RATE.DISCOUNT,1991-11-28,21.2
EG.RATE.DISCOUNT,1991-12-05,20.7
EG.RATE.DISCOUNT,1991-12-12,20.3
EG.RATE.DISCOUNT,1991-12-19,20.0
EG.RATE.DISCOUNT,1992-01-09,20.3
EG.RATE.DISCOUNT,1992-01-16,20.6
EG.RATE.DISCOUNT,1992-01-23,20.9
EG.RATE.DISCOUNT,1992-01-30,20.7
EG.RATE.DISCOUNT,1992-02-06,20.5
EG.RATE.DISCOUNT,1992-02-20,20.1
EG.RATE.DISCOUNT,1992-02-27,20.4
EG.RATE.DISCOUNT,1992-03-05,20.2
EG.RATE.DISCOUNT,1992-03-19,20.0
EG.RATE.DISCOUNT,1992-04-02,19.8
EG.RATE.DISCOUNT,1992-07-16,19.5
EG.RATE.DISCOUNT,1992-08-27,19.1
EG.RATE.DISCOUNT,1992-10-22,18.7
EG.RATE.DISCOUNT,1992-12-24,18.4
EG.RATE.DISCOUNT,1993-02-04,18.2
EG.RATE.DISCOUNT,1993-02-18,18.0
EG.RATE.DISCOUNT,1993-04-01,17.8
EG.RATE.DISCOUNT,1993-05-06,17.4
EG.RATE.DISCOUNT,1993-05-13,17.0
EG.RATE.DISCOUNT,1993-07-15,16.5
EG.RATE.DISCOUNT,1993-08-12,16.7
EG.RATE.DISCOUNT,1993-09-16,16.9
EG.RATE.DISCOUNT,1993-12-09,16.5
EG.RATE.DISCOUNT,1994-01-20,16.25
EG.RATE.DISCOUNT,1994-03-10,16.0
EG.RATE.DISCOUNT,1994-04-14,15.75
EG.RATE.DISCOUNT,1994-05-12,15.5
EG.RATE.DISCOUNT,1994-06-02,15.25
EG.RATE.DISCOUNT,1994-07-07,15.0
EG.RATE.DISCOUNT,1994-08-04,14.5
EG.RATE.DISCOUNT,1994-10-13,14.25
EG.RATE.DISCOUNT,1994-11-10,14.0
EG.RATE.DISCOUNT,1995-11-23,13.5
EG.RATE.DISCOUNT,1996-11-21,13.25
EG.RATE.DISCOUNT,1996-12-05,13.0
EG.RATE.DISCOUNT,1997-03-06,12.75
EG.RATE.DISCOUNT,1997-05-15,12.25
EG.RATE.DISCOUNT,1998-12-17,12.0
EG.RATE.DISCOUNT,2001-04-17,11.5
EG.RATE.DISCOUNT,2001-04-26,11.0
EG.RATE.DISCOUNT,2002-11-11,10.0
EG.RATE.DISCOUNT,2006-01-22,9.0
EG.RATE.DISCOUNT,2008-06-29,10.0
EG.RATE.DISCOUNT,2008-08-10,11.0
EG.RATE.DISCOUNT,2008-09-21,11.5
EG.RATE.DISCOUNT,2009-02-15,10.5
EG.RATE.DISCOUNT,2009-03-29,10.0
EG.RATE.DISCOUNT,2009-05-17,9.5
EG.RATE.DISCOUNT,2009-06-21,9.0
EG.RATE.DISCOUNT,2009-08-02,8.5
EG.RATE.DISCOUNT,2011-11-28,9.5
EG.RATE.DISCOUNT,2013-03-24,10.25
EG.RATE.DISCOUNT,2013-08-04,9.75
EG.RATE.DISCOUNT,2013-09-22,9.25
EG.RATE.DISCOUNT,2013-12-08,8.75
EG.RATE.DISCOUNT,2014-07-20,9.75
EG.RATE.DISCOUNT,2015-01-18,9.25
EG.RATE.DISCOUNT,2015-12-27,9.75
EG.RATE.DISCOUNT,2016-03-20,11.25
EG.RATE.DISCOUNT,2016-06-19,12.25
EG.RATE.DISCOUNT,2016-11-03,15.25
EG.RATE.DISCOUNT,2017-05-22,17.25
EG.RATE.DISCOUNT,2017-07-09,19.25
EG.RATE.DISCOUNT,2018-02-18,18.25
EG.RATE.DISCOUNT,2018-04-01,17.25
EG.RATE.DISCOUNT,2019-02-17,16.25
EG.RATE.DISCOUNT,2019-08-25,14.75
EG.RATE.DISCOUNT,2019-09-29,13.75
EG.RATE.DISCOUNT,2019-11-17,12.75
EG.RATE.DISCOUNT,2020-03-17,9.75
EG.RATE.DISCOUNT,2020-09-27,9.25
EG.RATE.DISCOUNT,2020-11-15,8.75
EG.RATE.DISCOUNT,2022-03-21,9.75
EG.RATE.DISCOUNT,2022-05-22,11.75
EG.RATE.DISCOUNT,2022-10-27,13.75
EG.RATE.DISCOUNT,2022-12-25,16.75
EG.RATE.DISCOUNT,2023-04-02,18.75
EG.RATE.DISCOUNT,2023-08-06,19.75
EG.RATE.DISCOUNT,2024-02-04,21.75
EG.RATE.DISCOUNT,2024-03-06,27.75
EG.RATE.DISCOUNT,2025-04-22,25.5
EG.RATE.DISCOUNT,2025-05-25,24.5
EG.RATE.DISCOUNT,2025-08-31,22.5
EG.RATE.DISCOUNT,2025-10-05,21.5
EG.RATE.DISCOUNT,2025-12-28,20.5
EG.RATE.DISCOUNT,2026-02-15,19.5
