series_id,period,value
EG.FX.IBK.WAVG,2004-12-23,6.2137
EG.FX.IBK.WAVG,2004-12-26,6.1605
EG.FX.IBK.WAVG,2004-12-27,6.1866
EG.FX.IBK.WAVG,2004-12-28,6.1717
EG.FX.IBK.WAVG,2004-12-29,6.1393
EG.FX.IBK.WAVG,2004-12-30,6.1002
EG.FX.IBK.WAVG,2005-01-02,6.0642
EG.FX.IBK.WAVG,2005-01-03,6.0338
EG.FX.IBK.WAVG,2005-01-04,5.9907
EG.FX.IBK.WAVG,2005-01-05,5.975
EG.FX.IBK.WAVG,2005-01-06,5.9651
EG.FX.IBK.WAVG,2005-01-09,5.9493
EG.FX.IBK.WAVG,2005-01-10,5.9313
EG.FX.IBK.WAVG,2005-01-11,5.9215
EG.FX.IBK.WAVG,2005-01-12,5.913
EG.FX.IBK.WAVG,2005-01-13,5.8962
EG.FX.IBK.WAVG,2005-01-16,5.8854
EG.FX.IBK.WAVG,2005-01-17,5.879
EG.FX.IBK.WAVG,2005-01-18,5.8716
EG.FX.IBK.WAVG,2005-01-23,5.8632
EG.FX.IBK.WAVG,2005-01-24,5.8558
EG.FX.IBK.WAVG,2005-01-25,5.8498
EG.FX.IBK.WAVG,2005-01-26,5.844
EG.FX.IBK.WAVG,2005-01-27,5.8368
EG.FX.IBK.WAVG,2005-01-30,5.8312
EG.FX.IBK.WAVG,2005-01-31,5.8261
EG.FX.IBK.WAVG,2005-02-01,5.8233
EG.FX.IBK.WAVG,2005-02-02,5.8185
EG.FX.IBK.WAVG,2005-02-03,5.8155
EG.FX.IBK.WAVG,2005-02-06,5.8137
EG.FX.IBK.WAVG,2005-02-07,5.8136
EG.FX.IBK.WAVG,2005-02-08,5.8157
EG.FX.IBK.WAVG,2005-02-09,5.8138
EG.FX.IBK.WAVG,2005-02-13,5.8107
EG.FX.IBK.WAVG,2005-02-14,5.8087
EG.FX.IBK.WAVG,2005-02-15,5.8084
EG.FX.IBK.WAVG,2005-02-16,5.8081
EG.FX.IBK.WAVG,2005-02-17,5.8092
EG.FX.IBK.WAVG,2005-02-20,5.8065
EG.FX.IBK.WAVG,2005-02-21,5.8022
EG.FX.IBK.WAVG,2005-02-22,5.8013
EG.FX.IBK.WAVG,2005-02-23,5.8004
EG.FX.IBK.WAVG,2005-02-24,5.8003
EG.FX.IBK.WAVG,2005-02-27,5.799
EG.FX.IBK.WAVG,2005-02-28,5.7983
EG.FX.IBK.WAVG,2005-03-01,5.7995
EG.FX.IBK.WAVG,2005-03-02,5.8002
EG.FX.IBK.WAVG,2005-03-03,5.7998
EG.FX.IBK.WAVG,2005-03-06,5.7993
EG.FX.IBK.WAVG,2005-03-07,5.7983
EG.FX.IBK.WAVG,2005-03-08,5.798
EG.FX.IBK.WAVG,2005-03-09,5.7979
EG.FX.IBK.WAVG,2005-03-10,5.7978
EG.FX.IBK.WAVG,2005-03-13,5.7976
EG.FX.IBK.WAVG,2005-03-14,5.7973
EG.FX.IBK.WAVG,2005-03-15,5.7973
EG.FX.IBK.WAVG,2005-03-16,5.7962
EG.FX.IBK.WAVG,2005-03-17,5.7959
EG.FX.IBK.WAVG,2005-03-20,5.7959
EG.FX.IBK.WAVG,2005-03-21,5.7959
EG.FX.IBK.WAVG,2005-03-22,5.796
EG.FX.IBK.WAVG,2005-03-23,5.7961
EG.FX.IBK.WAVG,2005-03-24,5.7961
EG.FX.IBK.WAVG,2005-03-27,5.7953
EG.FX.IBK.WAVG,2005-03-28,5.7947
EG.FX.IBK.WAVG,2005-03-29,5.7949
EG.FX.IBK.WAVG,2005-03-30,5.795
EG.FX.IBK.WAVG,2005-03-31,5.7951
EG.FX.IBK.WAVG,2005-04-03,5.795
EG.FX.IBK.WAVG,2005-04-04,5.7949
EG.FX.IBK.WAVG,2005-04-05,5.7947
EG.FX.IBK.WAVG,2005-04-06,5.7937
EG.FX.IBK.WAVG,2005-04-07,5.7936
EG.FX.IBK.WAVG,2005-04-10,5.7932
EG.FX.IBK.WAVG,2005-04-11,5.7927
EG.FX.IBK.WAVG,2005-04-12,5.7924
EG.FX.IBK.WAVG,2005-04-13,5.792
EG.FX.IBK.WAVG,2005-04-14,5.7924
EG.FX.IBK.WAVG,2005-04-17,5.7923
EG.FX.IBK.WAVG,2005-04-18,5.7924
EG.FX.IBK.WAVG,2005-04-19,5.7925
EG.FX.IBK.WAVG,2005-04-20,5.7926
EG.FX.IBK.WAVG,2005-04-24,5.7927
EG.FX.IBK.WAVG,2005-04-26,5.7928
EG.FX.IBK.WAVG,2005-04-27,5.7924
EG.FX.IBK.WAVG,2005-04-28,5.793
EG.FX.IBK.WAVG,2005-05-03,5.7931
EG.FX.IBK.WAVG,2005-05-04,5.793
EG.FX.IBK.WAVG,2005-05-05,5.793
EG.FX.IBK.WAVG,2005-05-08,5.7931
EG.FX.IBK.WAVG,2005-05-09,5.7933
EG.FX.IBK.WAVG,2005-05-10,5.7934
EG.FX.IBK.WAVG,2005-05-11,5.7933
EG.FX.IBK.WAVG,2005-05-12,5.7935
EG.FX.IBK.WAVG,2005-05-15,5.7938
EG.FX.IBK.WAVG,2005-05-16,5.7944
EG.FX.IBK.WAVG,2005-05-17,5.7951
EG.FX.IBK.WAVG,2005-05-18,5.795
EG.FX.IBK.WAVG,2005-05-19,5.7954
EG.FX.IBK.WAVG,2005-05-22,5.7959
EG.FX.IBK.WAVG,2005-05-23,5.7966
EG.FX.IBK.WAVG,2005-05-24,5.7968
EG.FX.IBK.WAVG,2005-05-25,5.7972
EG.FX.IBK.WAVG,2005-05-26,5.7971
EG.FX.IBK.WAVG,2005-05-29,5.7973
EG.FX.IBK.WAVG,2005-05-30,5.7975
EG.FX.IBK.WAVG,2005-05-31,5.7974
EG.FX.IBK.WAVG,2005-06-01,5.7974
EG.FX.IBK.WAVG,2005-06-02,5.7974
EG.FX.IBK.WAVG,2005-06-05,5.7975
EG.FX.IBK.WAVG,2005-06-06,5.7975
EG.FX.IBK.WAVG,2005-06-07,5.7976
EG.FX.IBK.WAVG,2005-06-08,5.7975
EG.FX.IBK.WAVG,2005-06-09,5.7978
EG.FX.IBK.WAVG,2005-06-12,5.7978
EG.FX.IBK.WAVG,2005-06-13,5.7977
EG.FX.IBK.WAVG,2005-06-14,5.7977
EG.FX.IBK.WAVG,2005-06-15,5.7973
EG.FX.IBK.WAVG,2005-06-16,5.7963
EG.FX.IBK.WAVG,2005-06-19,5.7945
EG.FX.IBK.WAVG,2005-06-20,5.7936
EG.FX.IBK.WAVG,2005-06-21,5.793
EG.FX.IBK.WAVG,2005-06-22,5.7921
EG.FX.IBK.WAVG,2005-06-23,5.7912
EG.FX.IBK.WAVG,2005-06-26,5.7899
EG.FX.IBK.WAVG,2005-06-27,5.788
EG.FX.IBK.WAVG,2005-06-28,5.7864
EG.FX.IBK.WAVG,2005-06-29,5.7844
EG.FX.IBK.WAVG,2005-06-30,5.7824
EG.FX.IBK.WAVG,2005-07-03,5.7819
EG.FX.IBK.WAVG,2005-07-04,5.7814
EG.FX.IBK.WAVG,2005-07-05,5.7808
EG.FX.IBK.WAVG,2005-07-06,5.7793
EG.FX.IBK.WAVG,2005-07-07,5.7789
EG.FX.IBK.WAVG,2005-07-10,5.7788
EG.FX.IBK.WAVG,2005-07-11,5.7784
EG.FX.IBK.WAVG,2005-07-12,5.7776
EG.FX.IBK.WAVG,2005-07-13,5.7764
EG.FX.IBK.WAVG,2005-07-14,5.7748
EG.FX.IBK.WAVG,2005-07-17,5.7727
EG.FX.IBK.WAVG,2005-07-18,5.7709
EG.FX.IBK.WAVG,2005-07-19,5.769
EG.FX.IBK.WAVG,2005-07-20,5.767
EG.FX.IBK.WAVG,2005-07-21,5.7665
EG.FX.IBK.WAVG,2005-07-24,5.7684
EG.FX.IBK.WAVG,2005-07-25,5.7747
EG.FX.IBK.WAVG,2005-07-26,5.7729
EG.FX.IBK.WAVG,2005-07-27,5.7711
EG.FX.IBK.WAVG,2005-07-28,5.7703
EG.FX.IBK.WAVG,2005-07-31,5.7697
EG.FX.IBK.WAVG,2005-08-01,5.769
EG.FX.IBK.WAVG,2005-08-02,5.7681
EG.FX.IBK.WAVG,2005-08-03,5.7673
EG.FX.IBK.WAVG,2005-08-04,5.7673
EG.FX.IBK.WAVG,2005-08-07,5.7675
EG.FX.IBK.WAVG,2005-08-08,5.7669
EG.FX.IBK.WAVG,2005-08-09,5.7669
EG.FX.IBK.WAVG,2005-08-10,5.7661
EG.FX.IBK.WAVG,2005-08-11,5.7664
EG.FX.IBK.WAVG,2005-08-14,5.7664
EG.FX.IBK.WAVG,2005-08-15,5.7663
EG.FX.IBK.WAVG,2005-08-16,5.7665
EG.FX.IBK.WAVG,2005-08-17,5.7665
EG.FX.IBK.WAVG,2005-08-18,5.7666
EG.FX.IBK.WAVG,2005-08-21,5.7665
EG.FX.IBK.WAVG,2005-08-22,5.7663
EG.FX.IBK.WAVG,2005-08-23,5.7661
EG.FX.IBK.WAVG,2005-08-24,5.7663
EG.FX.IBK.WAVG,2005-08-25,5.7673
EG.FX.IBK.WAVG,2005-08-28,5.7674
EG.FX.IBK.WAVG,2005-08-29,5.7673
EG.FX.IBK.WAVG,2005-08-30,5.7675
EG.FX.IBK.WAVG,2005-08-31,5.7678
EG.FX.IBK.WAVG,2005-09-01,5.7675
EG.FX.IBK.WAVG,2005-09-04,5.7678
EG.FX.IBK.WAVG,2005-09-05,5.7678
EG.FX.IBK.WAVG,2005-09-06,5.7676
EG.FX.IBK.WAVG,2005-09-07,5.7673
EG.FX.IBK.WAVG,2005-09-08,5.7663
EG.FX.IBK.WAVG,2005-09-11,5.7648
EG.FX.IBK.WAVG,2005-09-12,5.7631
EG.FX.IBK.WAVG,2005-09-13,5.7631
EG.FX.IBK.WAVG,2005-09-14,5.762
EG.FX.IBK.WAVG,2005-09-15,5.7607
EG.FX.IBK.WAVG,2005-09-18,5.7597
EG.FX.IBK.WAVG,2005-09-19,5.7579
EG.FX.IBK.WAVG,2005-09-20,5.7571
EG.FX.IBK.WAVG,2005-09-21,5.7564
EG.FX.IBK.WAVG,2005-09-22,5.7563
EG.FX.IBK.WAVG,2005-09-25,5.756
EG.FX.IBK.WAVG,2005-09-26,5.7551
EG.FX.IBK.WAVG,2005-09-27,5.7553
EG.FX.IBK.WAVG,2005-09-28,5.7547
EG.FX.IBK.WAVG,2005-09-29,5.7545
EG.FX.IBK.WAVG,2005-10-02,5.7543
EG.FX.IBK.WAVG,2005-10-03,5.754
EG.FX.IBK.WAVG,2005-10-04,5.7538
EG.FX.IBK.WAVG,2005-10-05,5.7537
EG.FX.IBK.WAVG,2005-10-09,5.7538
EG.FX.IBK.WAVG,2005-10-10,5.7535
EG.FX.IBK.WAVG,2005-10-11,5.7537
EG.FX.IBK.WAVG,2005-10-12,5.7536
EG.FX.IBK.WAVG,2005-10-13,5.7542
EG.FX.IBK.WAVG,2005-10-16,5.7548
EG.FX.IBK.WAVG,2005-10-17,5.755
EG.FX.IBK.WAVG,2005-10-18,5.7561
EG.FX.IBK.WAVG,2005-10-19,5.7567
EG.FX.IBK.WAVG,2005-10-20,5.757
