series_id,period,value
EG.FX.MKT.AED.BUY,2014-11-25,1.9451
EG.FX.MKT.AED.BUY,2014-11-27,1.9452
EG.FX.MKT.AED.BUY,2014-12-03,1.945
EG.FX.MKT.AED.BUY,2014-12-09,1.9451
EG.FX.MKT.AED.BUY,2014-12-10,1.9451
EG.FX.MKT.AED.BUY,2014-12-11,1.9451
EG.FX.MKT.AED.BUY,2014-12-14,1.9447
EG.FX.MKT.AED.BUY,2014-12-15,1.9447
EG.FX.MKT.AED.BUY,2014-12-16,1.9447
EG.FX.MKT.AED.BUY,2014-12-17,1.9447
EG.FX.MKT.AED.BUY,2014-12-18,1.9447
EG.FX.MKT.AED.BUY,2014-12-21,1.9447
EG.FX.MKT.AED.BUY,2014-12-22,1.9447
EG.FX.MKT.AED.BUY,2014-12-23,1.9447
EG.FX.MKT.AED.BUY,2014-12-24,1.9453
EG.FX.MKT.AED.BUY,2014-12-25,1.9453
EG.FX.MKT.AED.BUY,2014-12-28,1.9453
EG.FX.MKT.AED.BUY,2014-12-29,1.9453
EG.FX.MKT.AED.BUY,2014-12-30,1.9453
EG.FX.MKT.AED.BUY,2014-12-31,1.9453
EG.FX.MKT.AED.BUY,2015-01-01,1.9453
EG.FX.MKT.AED.BUY,2015-01-04,1.9453
EG.FX.MKT.AED.BUY,2015-01-05,1.9453
EG.FX.MKT.AED.BUY,2015-01-07,1.9453
EG.FX.MKT.AED.BUY,2015-01-08,1.9448
EG.FX.MKT.AED.BUY,2015-01-11,1.9453
EG.FX.MKT.AED.BUY,2015-01-12,1.9453
EG.FX.MKT.AED.BUY,2015-01-13,1.9454
EG.FX.MKT.AED.BUY,2015-01-14,1.9454
EG.FX.MKT.AED.BUY,2015-01-15,1.9453
EG.FX.MKT.AED.BUY,2015-01-18,1.9577
EG.FX.MKT.AED.BUY,2015-01-19,1.9697
EG.FX.MKT.AED.BUY,2015-01-20,1.9864
EG.FX.MKT.AED.BUY,2015-01-21,2.0003
EG.FX.MKT.AED.BUY,2015-01-22,2.0139
EG.FX.MKT.AED.BUY,2015-01-26,2.024
EG.FX.MKT.AED.BUY,2015-01-27,2.0247
EG.FX.MKT.AED.BUY,2015-01-28,2.0329
EG.FX.MKT.AED.BUY,2015-01-29,2.0584
EG.FX.MKT.AED.BUY,2015-02-01,2.0624
EG.FX.MKT.AED.BUY,2015-02-02,2.0678
EG.FX.MKT.AED.BUY,2015-02-03,2.0687
EG.FX.MKT.AED.BUY,2015-02-04,2.0678
EG.FX.MKT.AED.BUY,2015-02-09,2.0696
EG.FX.MKT.AED.BUY,2015-02-10,2.0691
EG.FX.MKT.AED.BUY,2015-02-11,2.0688
EG.FX.MKT.AED.BUY,2015-02-12,2.0691
EG.FX.MKT.AED.BUY,2015-02-15,2.0704
EG.FX.MKT.AED.BUY,2015-02-16,2.0697
EG.FX.MKT.AED.BUY,2015-02-17,2.0699
EG.FX.MKT.AED.BUY,2015-02-18,2.0709
EG.FX.MKT.AED.BUY,2015-02-19,2.0701
EG.FX.MKT.AED.BUY,2015-02-22,2.0702
EG.FX.MKT.AED.BUY,2015-02-23,2.0704
EG.FX.MKT.AED.BUY,2015-02-24,2.0704
EG.FX.MKT.AED.BUY,2015-02-25,2.0699
EG.FX.MKT.AED.BUY,2015-02-26,2.0705
EG.FX.MKT.AED.BUY,2015-03-01,2.0691
EG.FX.MKT.AED.BUY,2015-03-02,2.0692
EG.FX.MKT.AED.BUY,2015-03-03,2.0691
EG.FX.MKT.AED.BUY,2015-03-04,2.0698
EG.FX.MKT.AED.BUY,2015-03-05,2.0694
EG.FX.MKT.AED.BUY,2015-03-08,2.0697
EG.FX.MKT.AED.BUY,2015-03-09,2.0697
EG.FX.MKT.AED.BUY,2015-03-10,2.0694
EG.FX.MKT.AED.BUY,2015-03-11,2.0696
EG.FX.MKT.AED.BUY,2015-03-12,2.0704
EG.FX.MKT.AED.BUY,2015-03-15,2.0703
