series_id,period,value
EG.FX.OFF.AED.BUY,2005-01-02,1.6583
EG.FX.OFF.AED.BUY,2005-01-03,1.6484
EG.FX.OFF.AED.BUY,2005-01-04,1.6403
EG.FX.OFF.AED.BUY,2005-01-05,1.6287
EG.FX.OFF.AED.BUY,2005-01-06,1.6241
EG.FX.OFF.AED.BUY,2005-01-09,1.6215
EG.FX.OFF.AED.BUY,2005-01-10,1.6172
EG.FX.OFF.AED.BUY,2005-01-11,1.6121
EG.FX.OFF.AED.BUY,2005-01-12,1.6096
EG.FX.OFF.AED.BUY,2005-01-13,1.6074
EG.FX.OFF.AED.BUY,2005-01-16,1.6031
EG.FX.OFF.AED.BUY,2005-01-17,1.5996
EG.FX.OFF.AED.BUY,2005-01-18,1.5983
EG.FX.OFF.AED.BUY,2005-01-23,1.5958
EG.FX.OFF.AED.BUY,2005-01-24,1.5937
EG.FX.OFF.AED.BUY,2005-01-25,1.5915
EG.FX.OFF.AED.BUY,2005-01-26,1.5901
EG.FX.OFF.AED.BUY,2005-01-27,1.5882
EG.FX.OFF.AED.BUY,2005-01-30,1.5863
EG.FX.OFF.AED.BUY,2005-01-31,1.585
EG.FX.OFF.AED.BUY,2005-02-01,1.5834
EG.FX.OFF.AED.BUY,2005-02-02,1.5828
EG.FX.OFF.AED.BUY,2005-02-03,1.5815
EG.FX.OFF.AED.BUY,2005-02-06,1.5807
EG.FX.OFF.AED.BUY,2005-02-07,1.5801
EG.FX.OFF.AED.BUY,2005-02-08,1.58
EG.FX.OFF.AED.BUY,2005-02-09,1.5807
EG.FX.OFF.AED.BUY,2005-02-13,1.5803
EG.FX.OFF.AED.BUY,2005-02-14,1.5793
EG.FX.OFF.AED.BUY,2005-02-15,1.5789
EG.FX.OFF.AED.BUY,2005-02-16,1.5786
EG.FX.OFF.AED.BUY,2005-02-17,1.5785
EG.FX.OFF.AED.BUY,2005-02-20,1.5788
EG.FX.OFF.AED.BUY,2005-02-21,1.5779
EG.FX.OFF.AED.BUY,2005-02-22,1.5769
EG.FX.OFF.AED.BUY,2005-02-23,1.5767
EG.FX.OFF.AED.BUY,2005-02-24,1.5764
EG.FX.OFF.AED.BUY,2005-02-27,1.5764
EG.FX.OFF.AED.BUY,2005-02-28,1.5761
EG.FX.OFF.AED.BUY,2005-03-01,1.5758
EG.FX.OFF.AED.BUY,2005-03-02,1.576
EG.FX.OFF.AED.BUY,2005-03-03,1.5763
EG.FX.OFF.AED.BUY,2005-03-06,1.5762
EG.FX.OFF.AED.BUY,2005-03-07,1.5762
EG.FX.OFF.AED.BUY,2005-03-08,1.5759
EG.FX.OFF.AED.BUY,2005-03-09,1.5757
EG.FX.OFF.AED.BUY,2005-03-10,1.5759
EG.FX.OFF.AED.BUY,2005-03-13,1.5758
EG.FX.OFF.AED.BUY,2005-03-14,1.5757
EG.FX.OFF.AED.BUY,2005-03-15,1.5757
EG.FX.OFF.AED.BUY,2005-03-16,1.5756
EG.FX.OFF.AED.BUY,2005-03-17,1.5753
EG.FX.OFF.AED.BUY,2005-03-20,1.5752
EG.FX.OFF.AED.BUY,2005-03-21,1.5752
EG.FX.OFF.AED.BUY,2005-03-22,1.5753
EG.FX.OFF.AED.BUY,2005-03-23,1.5752
EG.FX.OFF.AED.BUY,2005-03-24,1.5752
EG.FX.OFF.AED.BUY,2005-03-27,1.5753
EG.FX.OFF.AED.BUY,2005-03-28,1.5751
EG.FX.OFF.AED.BUY,2005-03-29,1.5748
EG.FX.OFF.AED.BUY,2005-03-30,1.575
EG.FX.OFF.AED.BUY,2005-03-31,1.5749
EG.FX.OFF.AED.BUY,2005-04-03,1.5749
EG.FX.OFF.AED.BUY,2005-04-04,1.575
EG.FX.OFF.AED.BUY,2005-04-05,1.575
EG.FX.OFF.AED.BUY,2005-04-06,1.5749
EG.FX.OFF.AED.BUY,2005-04-07,1.5746
EG.FX.OFF.AED.BUY,2005-04-10,1.5745
EG.FX.OFF.AED.BUY,2005-04-11,1.5744
EG.FX.OFF.AED.BUY,2005-04-12,1.5743
EG.FX.OFF.AED.BUY,2005-04-13,1.5743
EG.FX.OFF.AED.BUY,2005-04-14,1.5741
EG.FX.OFF.AED.BUY,2005-04-17,1.5742
EG.FX.OFF.AED.BUY,2005-04-18,1.5742
EG.FX.OFF.AED.BUY,2005-04-19,1.5744
EG.FX.OFF.AED.BUY,2005-04-20,1.5745
EG.FX.OFF.AED.BUY,2005-04-24,1.5743
EG.FX.OFF.AED.BUY,2005-04-26,1.5744
EG.FX.OFF.AED.BUY,2005-04-27,1.5743
EG.FX.OFF.AED.BUY,2005-04-28,1.5742
EG.FX.OFF.AED.BUY,2005-05-03,1.5744
EG.FX.OFF.AED.BUY,2005-05-04,1.5744
EG.FX.OFF.AED.BUY,2005-05-05,1.5744
EG.FX.OFF.AED.BUY,2005-05-08,1.5744
EG.FX.OFF.AED.BUY,2005-05-09,1.5744
EG.FX.OFF.AED.BUY,2005-05-10,1.5745
EG.FX.OFF.AED.BUY,2005-05-11,1.5745
EG.FX.OFF.AED.BUY,2005-05-12,1.5745
EG.FX.OFF.AED.BUY,2005-05-15,1.5746
EG.FX.OFF.AED.BUY,2005-05-16,1.5746
EG.FX.OFF.AED.BUY,2005-05-17,1.5748
EG.FX.OFF.AED.BUY,2005-05-18,1.575
EG.FX.OFF.AED.BUY,2005-05-19,1.5749
EG.FX.OFF.AED.BUY,2005-05-22,1.575
EG.FX.OFF.AED.BUY,2005-05-23,1.5751
EG.FX.OFF.AED.BUY,2005-05-24,1.5754
EG.FX.OFF.AED.BUY,2005-05-25,1.5755
EG.FX.OFF.AED.BUY,2005-05-26,1.5755
EG.FX.OFF.AED.BUY,2005-05-29,1.5755
EG.FX.OFF.AED.BUY,2005-05-30,1.5755
EG.FX.OFF.AED.BUY,2005-05-31,1.5757
EG.FX.OFF.AED.BUY,2005-06-01,1.5756
EG.FX.OFF.AED.BUY,2005-06-02,1.5756
EG.FX.OFF.AED.BUY,2005-06-05,1.5757
EG.FX.OFF.AED.BUY,2005-06-06,1.5757
EG.FX.OFF.AED.BUY,2005-06-07,1.5756
EG.FX.OFF.AED.BUY,2005-06-08,1.5758
EG.FX.OFF.AED.BUY,2005-06-09,1.5756
EG.FX.OFF.AED.BUY,2005-06-12,1.5757
EG.FX.OFF.AED.BUY,2005-06-13,1.5757
EG.FX.OFF.AED.BUY,2005-06-14,1.5757
EG.FX.OFF.AED.BUY,2005-06-15,1.5757
EG.FX.OFF.AED.BUY,2005-06-16,1.5755
EG.FX.OFF.AED.BUY,2005-06-19,1.5753
EG.FX.OFF.AED.BUY,2005-06-20,1.5748
EG.FX.OFF.AED.BUY,2005-06-21,1.5746
EG.FX.OFF.AED.BUY,2005-06-22,1.5744
EG.FX.OFF.AED.BUY,2005-06-23,1.5742
EG.FX.OFF.AED.BUY,2005-06-26,1.5739
EG.FX.OFF.AED.BUY,2005-06-27,1.5735
EG.FX.OFF.AED.BUY,2005-06-28,1.5731
EG.FX.OFF.AED.BUY,2005-06-29,1.5726
EG.FX.OFF.AED.BUY,2005-06-30,1.5721
EG.FX.OFF.AED.BUY,2005-07-03,1.5715
EG.FX.OFF.AED.BUY,2005-07-04,1.5714
EG.FX.OFF.AED.BUY,2005-07-05,1.5713
EG.FX.OFF.AED.BUY,2005-07-06,1.5712
EG.FX.OFF.AED.BUY,2005-07-07,1.5707
EG.FX.OFF.AED.BUY,2005-07-10,1.5707
EG.FX.OFF.AED.BUY,2005-07-11,1.5706
EG.FX.OFF.AED.BUY,2005-07-12,1.5704
EG.FX.OFF.AED.BUY,2005-07-13,1.5702
EG.FX.OFF.AED.BUY,2005-07-14,1.5699
EG.FX.OFF.AED.BUY,2005-07-17,1.5694
EG.FX.OFF.AED.BUY,2005-07-18,1.5689
EG.FX.OFF.AED.BUY,2005-07-19,1.5684
EG.FX.OFF.AED.BUY,2005-07-20,1.568
EG.FX.OFF.AED.BUY,2005-07-21,1.5674
EG.FX.OFF.AED.BUY,2005-07-24,1.5672
EG.FX.OFF.AED.BUY,2005-07-25,1.5677
EG.FX.OFF.AED.BUY,2005-07-26,1.5695
EG.FX.OFF.AED.BUY,2005-07-27,1.5689
EG.FX.OFF.AED.BUY,2005-07-28,1.5685
EG.FX.OFF.AED.BUY,2005-07-31,1.5682
EG.FX.OFF.AED.BUY,2005-08-01,1.5681
EG.FX.OFF.AED.BUY,2005-08-02,1.5678
EG.FX.OFF.AED.BUY,2005-08-03,1.5676
EG.FX.OFF.AED.BUY,2005-08-04,1.5674
EG.FX.OFF.AED.BUY,2005-08-07,1.5674
EG.FX.OFF.AED.BUY,2005-08-08,1.5674
EG.FX.OFF.AED.BUY,2005-08-09,1.5673
EG.FX.OFF.AED.BUY,2005-08-10,1.5673
EG.FX.OFF.AED.BUY,2005-08-11,1.5671
EG.FX.OFF.AED.BUY,2005-08-14,1.5671
EG.FX.OFF.AED.BUY,2005-08-15,1.5671
EG.FX.OFF.AED.BUY,2005-08-16,1.5671
EG.FX.OFF.AED.BUY,2005-08-17,1.5672
EG.FX.OFF.AED.BUY,2005-08-18,1.5672
EG.FX.OFF.AED.BUY,2005-08-21,1.5672
EG.FX.OFF.AED.BUY,2005-08-22,1.5672
EG.FX.OFF.AED.BUY,2005-08-23,1.5672
EG.FX.OFF.AED.BUY,2005-08-24,1.5671
EG.FX.OFF.AED.BUY,2005-08-25,1.5671
EG.FX.OFF.AED.BUY,2005-08-28,1.5674
EG.FX.OFF.AED.BUY,2005-08-29,1.5673
EG.FX.OFF.AED.BUY,2005-08-30,1.5675
EG.FX.OFF.AED.BUY,2005-08-31,1.5675
EG.FX.OFF.AED.BUY,2005-09-01,1.5676
EG.FX.OFF.AED.BUY,2005-09-04,1.5674
EG.FX.OFF.AED.BUY,2005-09-05,1.5675
EG.FX.OFF.AED.BUY,2005-09-06,1.5675
EG.FX.OFF.AED.BUY,2005-09-07,1.5675
EG.FX.OFF.AED.BUY,2005-09-08,1.5674
EG.FX.OFF.AED.BUY,2005-09-11,1.5672
EG.FX.OFF.AED.BUY,2005-09-12,1.5667
EG.FX.OFF.AED.BUY,2005-09-13,1.5663
EG.FX.OFF.AED.BUY,2005-09-14,1.5663
EG.FX.OFF.AED.BUY,2005-09-15,1.5659
EG.FX.OFF.AED.BUY,2005-09-18,1.5657
EG.FX.OFF.AED.BUY,2005-09-19,1.5654
EG.FX.OFF.AED.BUY,2005-09-20,1.5648
EG.FX.OFF.AED.BUY,2005-09-21,1.5646
EG.FX.OFF.AED.BUY,2005-09-22,1.5645
EG.FX.OFF.AED.BUY,2005-09-25,1.5644
EG.FX.OFF.AED.BUY,2005-09-26,1.5643
EG.FX.OFF.AED.BUY,2005-09-27,1.5641
EG.FX.OFF.AED.BUY,2005-09-28,1.5644
EG.FX.OFF.AED.BUY,2005-09-29,1.5642
EG.FX.OFF.AED.BUY,2005-10-02,1.5643
EG.FX.OFF.AED.BUY,2005-10-03,1.5641
EG.FX.OFF.AED.BUY,2005-10-04,1.5641
EG.FX.OFF.AED.BUY,2005-10-05,1.5637
EG.FX.OFF.AED.BUY,2005-10-09,1.5637
EG.FX.OFF.AED.BUY,2005-10-10,1.5637
EG.FX.OFF.AED.BUY,2005-10-11,1.5638
EG.FX.OFF.AED.BUY,2005-10-12,1.5638
EG.FX.OFF.AED.BUY,2005-10-13,1.5637
EG.FX.OFF.AED.BUY,2005-10-16,1.564
EG.FX.OFF.AED.BUY,2005-10-17,1.5641
EG.FX.OFF.AED.BUY,2005-10-18,1.5641
EG.FX.OFF.AED.BUY,2005-10-19,1.5644
EG.FX.OFF.AED.BUY,2005-10-20,1.5646
EG.FX.OFF.AED.BUY,2005-10-23,1.5647
EG.FX.OFF.AED.BUY,2005-10-24,1.5646
EG.FX.OFF.AED.BUY,2005-10-25,1.5648
EG.FX.OFF.AED.BUY,2005-10-26,1.5649
EG.FX.OFF.AED.BUY,2005-10-27,1.5649
EG.FX.OFF.AED.BUY,2005-10-30,1.5649
EG.FX.OFF.AED.BUY,2005-10-31,1.5648
EG.FX.OFF.AED.BUY,2005-11-01,1.565
EG.FX.OFF.AED.BUY,2005-11-06,1.5651
EG.FX.OFF.AED.BUY,2005-11-07,1.565
EG.FX.OFF.AED.BUY,2005-11-08,1.5651
EG.FX.OFF.AED.BUY,2005-11-09,1.5651
EG.FX.OFF.AED.BUY,2005-11-10,1.5651
EG.FX.OFF.AED.BUY,2005-11-13,1.565
EG.FX.OFF.AED.BUY,2005-11-14,1.5651
EG.FX.OFF.AED.BUY,2005-11-15,1.5651
EG.FX.OFF.AED.BUY,2005-11-16,1.5651
EG.FX.OFF.AED.BUY,2005-11-17,1.5652
EG.FX.OFF.AED.BUY,2005-11-20,1.5652
EG.FX.OFF.AED.BUY,2005-11-21,1.5651
EG.FX.OFF.AED.BUY,2005-11-22,1.5648
EG.FX.OFF.AED.BUY,2005-11-23,1.565
EG.FX.OFF.AED.BUY,2005-11-24,1.5649
EG.FX.OFF.AED.BUY,2005-11-27,1.5651
EG.FX.OFF.AED.BUY,2005-11-28,1.5651
EG.FX.OFF.AED.BUY,2005-11-29,1.5652
EG.FX.OFF.AED.BUY,2005-11-30,1.5652
