series_id,period,value
EG.CPI.CORE.MOM,2005-01-01,0.014
EG.CPI.CORE.MOM,2005-02-01,0.034
EG.CPI.CORE.MOM,2005-03-01,0.537
EG.CPI.CORE.MOM,2005-04-01,0.69
EG.CPI.CORE.MOM,2005-05-01,0.394
EG.CPI.CORE.MOM,2005-06-01,0.172
EG.CPI.CORE.MOM,2005-07-01,0.125
EG.CPI.CORE.MOM,2005-08-01,0.076
EG.CPI.CORE.MOM,2005-09-01,0.12
EG.CPI.CORE.MOM,2005-10-01,0.223
EG.CPI.CORE.MOM,2005-11-01,0.026
EG.CPI.CORE.MOM,2005-12-01,0.078
EG.CPI.CORE.MOM,2006-01-01,0.859
EG.CPI.CORE.MOM,2006-02-01,-0.136
EG.CPI.CORE.MOM,2006-03-01,-0.351
EG.CPI.CORE.MOM,2006-04-01,0.334
EG.CPI.CORE.MOM,2006-05-01,1.773
EG.CPI.CORE.MOM,2006-06-01,3.093
EG.CPI.CORE.MOM,2006-07-01,0.64
EG.CPI.CORE.MOM,2006-08-01,0.287
EG.CPI.CORE.MOM,2006-09-01,1.119
EG.CPI.CORE.MOM,2006-10-01,2.29
EG.CPI.CORE.MOM,2006-11-01,0.205
EG.CPI.CORE.MOM,2006-12-01,0.116
EG.CPI.CORE.MOM,2007-01-01,0.781
EG.CPI.CORE.MOM,2007-02-01,0.108
EG.CPI.CORE.MOM,2007-03-01,-0.134
EG.CPI.CORE.MOM,2007-04-01,-0.147
EG.CPI.CORE.MOM,2007-05-01,0.386
EG.CPI.CORE.MOM,2007-06-01,0.496
EG.CPI.CORE.MOM,2007-07-01,0.63
EG.CPI.CORE.MOM,2007-08-01,1.36
EG.CPI.CORE.MOM,2007-09-01,0.666
EG.CPI.CORE.MOM,2007-10-01,0.674
EG.CPI.CORE.MOM,2007-11-01,0.527
EG.CPI.CORE.MOM,2007-12-01,0.784
EG.CPI.CORE.MOM,2008-01-01,4.608
EG.CPI.CORE.MOM,2008-02-01,1.849
EG.CPI.CORE.MOM,2008-03-01,2.843
EG.CPI.CORE.MOM,2008-04-01,1.891
EG.CPI.CORE.MOM,2008-05-01,2.192
EG.CPI.CORE.MOM,2008-06-01,0.891
EG.CPI.CORE.MOM,2008-07-01,1.756
EG.CPI.CORE.MOM,2008-08-01,2.119
EG.CPI.CORE.MOM,2008-09-01,0.554
EG.CPI.CORE.MOM,2008-10-01,0.117
EG.CPI.CORE.MOM,2008-11-01,-0.103
EG.CPI.CORE.MOM,2008-12-01,-0.759
EG.CPI.CORE.MOM,2009-01-01,0.478
EG.CPI.CORE.MOM,2009-02-01,0.903
EG.CPI.CORE.MOM,2009-03-01,0.636
EG.CPI.CORE.MOM,2009-04-01,1.103
EG.CPI.CORE.MOM,2009-05-01,0.527
EG.CPI.CORE.MOM,2009-06-01,0.312
EG.CPI.CORE.MOM,2009-07-01,1.152
EG.CPI.CORE.MOM,2009-08-01,0.714
EG.CPI.CORE.MOM,2009-09-01,0.751
EG.CPI.CORE.MOM,2009-10-01,0.252
EG.CPI.CORE.MOM,2009-11-01,-0.075
EG.CPI.CORE.MOM,2009-12-01,-0.4687
EG.CPI.CORE.MOM,2010-01-01,0.654
EG.CPI.CORE.MOM,2010-02-01,0.328
EG.CPI.CORE.MOM,2010-03-01,0.727
EG.CPI.CORE.MOM,2010-04-01,0.636
EG.CPI.CORE.MOM,2010-05-01,0.491
EG.CPI.CORE.MOM,2010-06-01,0.341
EG.CPI.CORE.MOM,2010-07-01,1.454
EG.CPI.CORE.MOM,2010-08-01,2.818
EG.CPI.CORE.MOM,2010-09-01,0.224
EG.CPI.CORE.MOM,2010-10-01,0.728
EG.CPI.CORE.MOM,2010-11-01,0.692
EG.CPI.CORE.MOM,2010-12-01,0.182
EG.CPI.CORE.MOM,2011-01-01,0.7403
EG.CPI.CORE.MOM,2011-02-01,0.113
EG.CPI.CORE.MOM,2011-03-01,-0.165
EG.CPI.CORE.MOM,2011-04-01,0.847
EG.CPI.CORE.MOM,2011-05-01,0.537
EG.CPI.CORE.MOM,2011-06-01,0.454
EG.CPI.CORE.MOM,2011-07-01,1.24
EG.CPI.CORE.MOM,2011-08-01,1.18
EG.CPI.CORE.MOM,2011-09-01,1.135
EG.CPI.CORE.MOM,2011-10-01,0.401
EG.CPI.CORE.MOM,2011-11-01,0.168
EG.CPI.CORE.MOM,2011-12-01,0.211
EG.CPI.CORE.MOM,2012-01-01,0.549
EG.CPI.CORE.MOM,2012-02-01,0.517
EG.CPI.CORE.MOM,2012-03-01,1.119
EG.CPI.CORE.MOM,2012-04-01,0.557
EG.CPI.CORE.MOM,2012-05-01,-0.524
EG.CPI.CORE.MOM,2012-06-01,0.281
EG.CPI.CORE.MOM,2012-07-01,0.579
EG.CPI.CORE.MOM,2012-08-01,0.228
EG.CPI.CORE.MOM,2012-09-01,-0.305
EG.CPI.CORE.MOM,2012-10-01,1.179
EG.CPI.CORE.MOM,2012-11-01,-0.255
EG.CPI.CORE.MOM,2012-12-01,0.44
EG.CPI.CORE.MOM,2013-01-01,1.311
EG.CPI.CORE.MOM,2013-02-01,2.855
EG.CPI.CORE.MOM,2013-03-01,0.508
EG.CPI.CORE.MOM,2013-04-01,0.974
EG.CPI.CORE.MOM,2013-05-01,0.0
EG.CPI.CORE.MOM,2013-06-01,0.767
EG.CPI.CORE.MOM,2013-07-01,1.043
EG.CPI.CORE.MOM,2013-08-01,0.141
EG.CPI.CORE.MOM,2013-09-01,1.696
EG.CPI.CORE.MOM,2013-10-01,1.173
EG.CPI.CORE.MOM,2013-11-01,0.464
EG.CPI.CORE.MOM,2013-12-01,0.407
EG.CPI.CORE.MOM,2014-01-01,1.11
EG.CPI.CORE.MOM,2014-02-01,1.019
EG.CPI.CORE.MOM,2014-03-01,0.697
EG.CPI.CORE.MOM,2014-04-01,0.248
EG.CPI.CORE.MOM,2014-05-01,-0.232
EG.CPI.CORE.MOM,2014-06-01,0.677
EG.CPI.CORE.MOM,2014-07-01,1.791
EG.CPI.CORE.MOM,2014-08-01,0.602
EG.CPI.CORE.MOM,2014-09-01,0.844
EG.CPI.CORE.MOM,2014-10-01,0.546
EG.CPI.CORE.MOM,2014-11-01,-0.152
EG.CPI.CORE.MOM,2014-12-01,0.296
EG.CPI.CORE.MOM,2015-01-01,0.521
EG.CPI.CORE.MOM,2015-02-01,1.1
EG.CPI.CORE.MOM,2015-03-01,0.757
EG.CPI.CORE.MOM,2015-04-01,0.228
EG.CPI.CORE.MOM,2015-05-01,0.651
EG.CPI.CORE.MOM,2015-06-01,0.611
EG.CPI.CORE.MOM,2015-07-01,0.302
EG.CPI.CORE.MOM,2015-08-01,-0.228
EG.CPI.CORE.MOM,2015-09-01,0.787
EG.CPI.CORE.MOM,2015-10-01,1.229
EG.CPI.CORE.MOM,2015-11-01,0.957
EG.CPI.CORE.MOM,2015-12-01,0.1
EG.CPI.CORE.MOM,2016-01-01,0.983
EG.CPI.CORE.MOM,2016-02-01,0.883
EG.CPI.CORE.MOM,2016-03-01,1.618
EG.CPI.CORE.MOM,2016-04-01,1.242
EG.CPI.CORE.MOM,2016-05-01,3.151
EG.CPI.CORE.MOM,2016-06-01,0.735
EG.CPI.CORE.MOM,2016-07-01,0.246
EG.CPI.CORE.MOM,2016-08-01,0.611
EG.CPI.CORE.MOM,2016-09-01,1.395
EG.CPI.CORE.MOM,2016-10-01,2.812
EG.CPI.CORE.MOM,2016-11-01,5.333
EG.CPI.CORE.MOM,2016-12-01,4.351
EG.CPI.CORE.MOM,2017-01-01,4.995
EG.CPI.CORE.MOM,2017-02-01,2.61
EG.CPI.CORE.MOM,2017-03-01,0.969
EG.CPI.CORE.MOM,2017-04-01,1.099
EG.CPI.CORE.MOM,2017-05-01,1.986
EG.CPI.CORE.MOM,2017-06-01,1.797
EG.CPI.CORE.MOM,2017-07-01,2.762
EG.CPI.CORE.MOM,2017-08-01,0.315
EG.CPI.CORE.MOM,2017-09-01,0.192
EG.CPI.CORE.MOM,2017-10-01,0.703
EG.CPI.CORE.MOM,2017-11-01,1.311
EG.CPI.CORE.MOM,2017-12-01,-0.37
EG.CPI.CORE.MOM,2018-01-01,0.166
EG.CPI.CORE.MOM,2018-02-01,0.394
EG.CPI.CORE.MOM,2018-03-01,0.703
EG.CPI.CORE.MOM,2018-04-01,1.125
EG.CPI.CORE.MOM,2018-05-01,1.502
EG.CPI.CORE.MOM,2018-06-01,1.622
EG.CPI.CORE.MOM,2018-07-01,0.58
EG.CPI.CORE.MOM,2018-08-01,0.584
EG.CPI.CORE.MOM,2018-09-01,-0.064
EG.CPI.CORE.MOM,2018-10-01,0.984
EG.CPI.CORE.MOM,2018-11-01,0.461
EG.CPI.CORE.MOM,2018-12-01,-0.037
EG.CPI.CORE.MOM,2019-01-01,0.409
EG.CPI.CORE.MOM,2019-02-01,0.981
EG.CPI.CORE.MOM,2019-03-01,0.453
EG.CPI.CORE.MOM,2019-04-01,0.363
EG.CPI.CORE.MOM,2019-05-01,1.241
EG.CPI.CORE.MOM,2019-06-01,0.272
EG.CPI.CORE.MOM,2019-07-01,0.112
EG.CPI.CORE.MOM,2019-08-01,-0.361
EG.CPI.CORE.MOM,2019-09-01,-2.26
EG.CPI.CORE.MOM,2019-10-01,1.103
EG.CPI.CORE.MOM,2019-11-01,-0.135
EG.CPI.CORE.MOM,2019-12-01,0.217
EG.CPI.CORE.MOM,2020-01-01,0.693
EG.CPI.CORE.MOM,2020-02-01,0.246
EG.CPI.CORE.MOM,2020-03-01,0.424
EG.CPI.CORE.MOM,2020-04-01,1.007
EG.CPI.CORE.MOM,2020-05-01,0.255
EG.CPI.CORE.MOM,2020-06-01,-0.31
EG.CPI.CORE.MOM,2020-07-01,-0.117
EG.CPI.CORE.MOM,2020-08-01,-0.248
EG.CPI.CORE.MOM,2020-09-01,0.093
EG.CPI.CORE.MOM,2020-10-01,1.715
EG.CPI.CORE.MOM,2020-11-01,-0.008
EG.CPI.CORE.MOM,2020-12-01,0.007
EG.CPI.CORE.MOM,2021-01-01,0.532
EG.CPI.CORE.MOM,2021-02-01,0.254
EG.CPI.CORE.MOM,2021-03-01,0.451
EG.CPI.CORE.MOM,2021-04-01,0.675
EG.CPI.CORE.MOM,2021-05-01,0.334
EG.CPI.CORE.MOM,2021-06-01,0.111
EG.CPI.CORE.MOM,2021-07-01,0.574
EG.CPI.CORE.MOM,2021-08-01,-0.288
EG.CPI.CORE.MOM,2021-09-01,0.401
EG.CPI.CORE.MOM,2021-10-01,2.077
EG.CPI.CORE.MOM,2021-11-01,0.533
EG.CPI.CORE.MOM,2021-12-01,0.175
EG.CPI.CORE.MOM,2022-01-01,0.817
EG.CPI.CORE.MOM,2022-02-01,1.164
EG.CPI.CORE.MOM,2022-03-01,3.093
EG.CPI.CORE.MOM,2022-04-01,2.402
EG.CPI.CORE.MOM,2022-05-01,1.589
EG.CPI.CORE.MOM,2022-06-01,1.196
EG.CPI.CORE.MOM,2022-07-01,1.51
EG.CPI.CORE.MOM,2022-08-01,0.591
EG.CPI.CORE.MOM,2022-09-01,1.554
EG.CPI.CORE.MOM,2022-10-01,2.964
EG.CPI.CORE.MOM,2022-11-01,2.651
EG.CPI.CORE.MOM,2022-12-01,2.582
EG.CPI.CORE.MOM,2023-01-01,6.32
EG.CPI.CORE.MOM,2023-02-01,8.117
EG.CPI.CORE.MOM,2023-03-01,2.54
EG.CPI.CORE.MOM,2023-04-01,1.716
EG.CPI.CORE.MOM,2023-05-01,2.858
EG.CPI.CORE.MOM,2023-06-01,1.695
EG.CPI.CORE.MOM,2023-07-01,1.319
EG.CPI.CORE.MOM,2023-08-01,0.338
EG.CPI.CORE.MOM,2023-09-01,1.1
EG.CPI.CORE.MOM,2023-10-01,1.8
EG.CPI.CORE.MOM,2023-11-01,0.981
EG.CPI.CORE.MOM,2023-12-01,1.313
EG.CPI.CORE.MOM,2024-01-01,2.222
EG.CPI.CORE.MOM,2024-02-01,13.242
EG.CPI.CORE.MOM,2024-03-01,1.428
EG.CPI.CORE.MOM,2024-04-01,0.309
EG.CPI.CORE.MOM,2024-05-01,-0.789
EG.CPI.CORE.MOM,2024-06-01,1.304
EG.CPI.CORE.MOM,2024-07-01,-0.49
EG.CPI.CORE.MOM,2024-08-01,0.938
EG.CPI.CORE.MOM,2024-09-01,0.962
EG.CPI.CORE.MOM,2024-10-01,1.303
EG.CPI.CORE.MOM,2024-11-01,0.42
EG.CPI.CORE.MOM,2024-12-01,0.91
EG.CPI.CORE.MOM,2025-01-01,1.69
EG.CPI.CORE.MOM,2025-02-01,1.63
EG.CPI.CORE.MOM,2025-03-01,0.87
EG.CPI.CORE.MOM,2025-04-01,1.2
EG.CPI.CORE.MOM,2025-05-01,1.6
EG.CPI.CORE.MOM,2025-06-01,-0.2
EG.CPI.CORE.MOM,2025-07-01,-0.3
EG.CPI.CORE.MOM,2025-08-01,0.1
EG.CPI.CORE.MOM,2025-09-01,1.5
EG.CPI.CORE.MOM,2025-10-01,2.0
EG.CPI.CORE.MOM,2025-11-01,0.8
EG.CPI.CORE.MOM,2025-12-01,0.2
EG.CPI.CORE.MOM,2026-01-01,1.2
EG.CPI.CORE.MOM,2026-02-01,3.0
EG.CPI.CORE.MOM,2026-03-01,2.0
EG.CPI.CORE.MOM,2026-04-01,1.1
EG.CPI.CORE.MOM,2026-05-01,1.6
EG.CPI.CORE.MOM,2026-06-01,0.3
EG.CPI.CORE.MOM,2026-07-01,0.0
EG.CPI.CORE.YOY,2005-01-01,7.992
EG.CPI.CORE.YOY,2005-02-01,6.144
EG.CPI.CORE.YOY,2005-03-01,5.995
EG.CPI.CORE.YOY,2005-04-01,4.53
EG.CPI.CORE.YOY,2005-05-01,4.103
EG.CPI.CORE.YOY,2005-06-01,3.518
EG.CPI.CORE.YOY,2005-07-01,2.91
EG.CPI.CORE.YOY,2005-08-01,3.003
EG.CPI.CORE.YOY,2005-09-01,2.773
EG.CPI.CORE.YOY,2005-10-01,2.551
EG.CPI.CORE.YOY,2005-11-01,2.238
EG.CPI.CORE.YOY,2005-12-01,2.513
EG.CPI.CORE.YOY,2006-01-01,3.379
EG.CPI.CORE.YOY,2006-02-01,3.203
EG.CPI.CORE.YOY,2006-03-01,2.292
EG.CPI.CORE.YOY,2006-04-01,1.93
EG.CPI.CORE.YOY,2006-05-01,3.33
EG.CPI.CORE.YOY,2006-06-01,6.344
EG.CPI.CORE.YOY,2006-07-01,6.892
EG.CPI.CORE.YOY,2006-08-01,7.117
EG.CPI.CORE.YOY,2006-09-01,8.185
EG.CPI.CORE.YOY,2006-10-01,10.417
EG.CPI.CORE.YOY,2006-11-01,10.614
EG.CPI.CORE.YOY,2006-12-01,10.656
EG.CPI.CORE.YOY,2007-01-01,10.571
EG.CPI.CORE.YOY,2007-02-01,10.841
EG.CPI.CORE.YOY,2007-03-01,11.083
EG.CPI.CORE.YOY,2007-04-01,10.55
EG.CPI.CORE.YOY,2007-05-01,9.044
EG.CPI.CORE.YOY,2007-06-01,6.296
EG.CPI.CORE.YOY,2007-07-01,6.285
EG.CPI.CORE.YOY,2007-08-01,7.422
EG.CPI.CORE.YOY,2007-09-01,6.941
EG.CPI.CORE.YOY,2007-10-01,5.251
EG.CPI.CORE.YOY,2007-11-01,5.589
EG.CPI.CORE.YOY,2007-12-01,6.294
EG.CPI.CORE.YOY,2008-01-01,10.542
EG.CPI.CORE.YOY,2008-02-01,12.32
EG.CPI.CORE.YOY,2008-03-01,15.558
EG.CPI.CORE.YOY,2008-04-01,17.917
EG.CPI.CORE.YOY,2008-05-01,20.026
EG.CPI.CORE.YOY,2008-06-01,20.683
EG.CPI.CORE.YOY,2008-07-01,22.211
EG.CPI.CORE.YOY,2008-08-01,22.973
EG.CPI.CORE.YOY,2008-09-01,21.962
EG.CPI.CORE.YOY,2008-10-01,22.26
EG.CPI.CORE.YOY,2008-11-01,21.354
EG.CPI.CORE.YOY,2008-12-01,19.376
EG.CPI.CORE.YOY,2009-01-01,14.663
EG.CPI.CORE.YOY,2009-02-01,13.598
EG.CPI.CORE.YOY,2009-03-01,11.16
EG.CPI.CORE.YOY,2009-04-01,10.301
EG.CPI.CORE.YOY,2009-05-01,8.504
EG.CPI.CORE.YOY,2009-06-01,10.043
EG.CPI.CORE.YOY,2009-07-01,7.242
EG.CPI.CORE.YOY,2009-08-01,5.77
EG.CPI.CORE.YOY,2009-09-01,6.263
EG.CPI.CORE.YOY,2009-10-01,6.517
EG.CPI.CORE.YOY,2009-11-01,6.589
EG.CPI.CORE.YOY,2009-12-01,6.8521
EG.CPI.CORE.YOY,2010-01-01,7.391
EG.CPI.CORE.YOY,2010-02-01,6.898
EG.CPI.CORE.YOY,2010-03-01,7.039
EG.CPI.CORE.YOY,2010-04-01,6.615
EG.CPI.CORE.YOY,2010-05-01,6.687
EG.CPI.CORE.YOY,2010-06-01,6.697
EG.CPI.CORE.YOY,2010-07-01,7.083
EG.CPI.CORE.YOY,2010-08-01,8.16
EG.CPI.CORE.YOY,2010-09-01,7.594
EG.CPI.CORE.YOY,2010-10-01,8.105
EG.CPI.CORE.YOY,2010-11-01,8.934
EG.CPI.CORE.YOY,2010-12-01,9.647
EG.CPI.CORE.YOY,2011-01-01,9.7411
EG.CPI.CORE.YOY,2011-02-01,9.506
EG.CPI.CORE.YOY,2011-03-01,8.537
EG.CPI.CORE.YOY,2011-04-01,8.764
EG.CPI.CORE.YOY,2011-05-01,8.814
EG.CPI.CORE.YOY,2011-06-01,8.937
EG.CPI.CORE.YOY,2011-07-01,8.708
EG.CPI.CORE.YOY,2011-08-01,6.976
EG.CPI.CORE.YOY,2011-09-01,7.948
EG.CPI.CORE.YOY,2011-10-01,7.598
EG.CPI.CORE.YOY,2011-11-01,7.037
EG.CPI.CORE.YOY,2011-12-01,7.069
EG.CPI.CORE.YOY,2012-01-01,6.865
EG.CPI.CORE.YOY,2012-02-01,7.296
EG.CPI.CORE.YOY,2012-03-01,8.676
EG.CPI.CORE.YOY,2012-04-01,8.364
EG.CPI.CORE.YOY,2012-05-01,7.22
EG.CPI.CORE.YOY,2012-06-01,7.035
EG.CPI.CORE.YOY,2012-07-01,6.337
EG.CPI.CORE.YOY,2012-08-01,5.336
EG.CPI.CORE.YOY,2012-09-01,3.836
EG.CPI.CORE.YOY,2012-10-01,4.641
EG.CPI.CORE.YOY,2012-11-01,4.2
EG.CPI.CORE.YOY,2012-12-01,4.437
EG.CPI.CORE.YOY,2013-01-01,5.229
EG.CPI.CORE.YOY,2013-02-01,7.677
EG.CPI.CORE.YOY,2013-03-01,7.026
EG.CPI.CORE.YOY,2013-04-01,7.469
EG.CPI.CORE.YOY,2013-05-01,8.036
EG.CPI.CORE.YOY,2013-06-01,8.56
EG.CPI.CORE.YOY,2013-07-01,9.061
EG.CPI.CORE.YOY,2013-08-01,8.967
EG.CPI.CORE.YOY,2013-09-01,11.155
EG.CPI.CORE.YOY,2013-10-01,11.148
EG.CPI.CORE.YOY,2013-11-01,11.949
EG.CPI.CORE.YOY,2013-12-01,11.912
EG.CPI.CORE.YOY,2014-01-01,11.691
