series_id,period,value
EG.IBK.BW.GT1M,2010-07-26,8.35
EG.IBK.BW.GT1M,2010-11-29,8.4
EG.IBK.BW.GT1M,2010-12-13,8.4
EG.IBK.BW.GT1M,2010-12-27,8.315
EG.IBK.BW.GT1M,2011-01-24,8.274
EG.IBK.BW.GT1M,2011-04-04,9.6
EG.IBK.BW.GT1M,2011-05-02,9.6
EG.IBK.BW.GT1M,2011-05-30,9.5
EG.IBK.BW.GT1M,2011-06-13,9.5
EG.IBK.BW.GT1M,2011-07-11,9.593
EG.IBK.BW.GT1M,2011-08-08,9.509
EG.IBK.BW.GT1M,2011-08-22,9.1
EG.IBK.BW.GT1M,2011-09-19,9.5
EG.IBK.BW.GT1M,2011-10-03,9.6
EG.IBK.BW.GT1M,2011-10-17,9.502
EG.IBK.BW.GT1M,2011-10-31,9.1
EG.IBK.BW.GT1M,2011-11-14,9.31
EG.IBK.BW.GT1M,2011-12-26,11.3
EG.IBK.BW.GT1M,2012-01-23,9.9
EG.IBK.BW.GT1M,2012-03-19,9.909
EG.IBK.BW.GT1M,2012-04-30,11.25
EG.IBK.BW.GT1M,2012-05-14,10.25
EG.IBK.BW.GT1M,2012-05-28,9.9
EG.IBK.BW.GT1M,2012-07-09,10.3
EG.IBK.BW.GT1M,2012-08-06,10.0
EG.IBK.BW.GT1M,2012-08-20,10.481
EG.IBK.BW.GT1M,2012-09-03,10.5
EG.IBK.BW.GT1M,2012-09-17,10.25
EG.IBK.BW.GT1M,2012-10-01,9.85
EG.IBK.BW.GT1M,2012-10-15,10.1
EG.IBK.BW.GT1M,2012-10-29,10.2
EG.IBK.BW.GT1M,2012-11-12,10.25
EG.IBK.BW.GT1M,2012-11-26,10.0
EG.IBK.BW.GT1M,2012-12-10,10.11
EG.IBK.BW.GT1M,2012-12-24,10.146
EG.IBK.BW.GT1M,2013-01-07,10.5
EG.IBK.BW.GT1M,2013-01-21,10.05
EG.IBK.BW.GT1M,2013-02-04,10.5
EG.IBK.BW.GT1M,2013-03-04,10.0
EG.IBK.BW.GT1M,2013-03-18,10.35
EG.IBK.BW.GT1M,2013-04-01,10.41
EG.IBK.BW.GT1M,2013-04-15,10.65
EG.IBK.BW.GT1M,2013-04-29,10.55
EG.IBK.BW.GT1M,2013-05-27,10.578
EG.IBK.BW.GT1M,2013-06-10,11.5
EG.IBK.BW.GT1M,2013-06-24,10.68
EG.IBK.BW.GT1M,2013-07-22,10.516
EG.IBK.BW.GT1M,2013-08-05,10.253
EG.IBK.BW.GT1M,2015-02-16,9.0
EG.IBK.BW.GT1M,2015-03-02,8.85
EG.IBK.BW.GT1M,2015-03-16,8.85
EG.IBK.BW.GT1M,2016-02-29,9.35
EG.IBK.BW.GT1M,2016-03-14,9.35
EG.IBK.BW.GT1M,2016-03-28,10.865
EG.IBK.BW.GT1M,2016-04-11,11.25
EG.IBK.BW.GT1M,2016-05-09,11.05
EG.IBK.BW.GT1M,2016-06-20,11.85
EG.IBK.BW.GT1M,2016-07-04,12.09
EG.IBK.BW.GT1M,2016-08-01,11.85
EG.IBK.BW.GT1M,2016-08-15,12.332
EG.IBK.BW.GT1M,2016-10-10,12.05
