series_id,period,value
EG.IBK.D.GT1M,2010-07-14,8.35
EG.IBK.D.GT1M,2010-11-23,8.4
EG.IBK.D.GT1M,2010-12-01,8.4
EG.IBK.D.GT1M,2010-12-16,8.315
EG.IBK.D.GT1M,2011-01-11,8.311
EG.IBK.D.GT1M,2011-01-12,8.265
EG.IBK.D.GT1M,2011-03-22,9.6
EG.IBK.D.GT1M,2011-04-27,9.6
EG.IBK.D.GT1M,2011-05-25,9.5
EG.IBK.D.GT1M,2011-06-01,9.5
EG.IBK.D.GT1M,2011-06-07,9.5
EG.IBK.D.GT1M,2011-06-30,9.592
EG.IBK.D.GT1M,2011-07-26,9.507
EG.IBK.D.GT1M,2011-07-31,9.53
EG.IBK.D.GT1M,2011-08-09,9.1
EG.IBK.D.GT1M,2011-08-16,9.1
EG.IBK.D.GT1M,2011-09-07,9.5
EG.IBK.D.GT1M,2011-09-28,9.6
EG.IBK.D.GT1M,2011-10-04,9.289
EG.IBK.D.GT1M,2011-10-05,9.5
EG.IBK.D.GT1M,2011-10-11,9.562
EG.IBK.D.GT1M,2011-10-12,9.45
EG.IBK.D.GT1M,2011-10-18,9.1
EG.IBK.D.GT1M,2011-11-09,9.6
EG.IBK.D.GT1M,2011-11-10,9.1
EG.IBK.D.GT1M,2011-12-13,10.367
EG.IBK.D.GT1M,2011-12-15,11.9
EG.IBK.D.GT1M,2011-12-20,9.9
EG.IBK.D.GT1M,2012-01-12,9.9
EG.IBK.D.GT1M,2012-03-13,9.93
EG.IBK.D.GT1M,2012-03-15,9.9
EG.IBK.D.GT1M,2012-04-26,11.25
EG.IBK.D.GT1M,2012-05-02,10.25
EG.IBK.D.GT1M,2012-05-17,9.9
EG.IBK.D.GT1M,2012-05-22,9.9
EG.IBK.D.GT1M,2012-06-17,11.25
EG.IBK.D.GT1M,2012-07-04,10.3
EG.IBK.D.GT1M,2012-07-24,9.9
EG.IBK.D.GT1M,2012-07-30,10.1
EG.IBK.D.GT1M,2012-08-01,10.2
EG.IBK.D.GT1M,2012-08-08,10.25
EG.IBK.D.GT1M,2012-08-14,10.5
EG.IBK.D.GT1M,2012-08-21,10.5
EG.IBK.D.GT1M,2012-09-12,10.25
EG.IBK.D.GT1M,2012-09-26,9.85
EG.IBK.D.GT1M,2012-09-27,9.85
EG.IBK.D.GT1M,2012-10-04,10.1
EG.IBK.D.GT1M,2012-10-24,10.2
EG.IBK.D.GT1M,2012-11-08,10.25
EG.IBK.D.GT1M,2012-11-14,10.0
EG.IBK.D.GT1M,2012-11-21,10.0
EG.IBK.D.GT1M,2012-12-05,10.11
EG.IBK.D.GT1M,2012-12-11,10.25
EG.IBK.D.GT1M,2012-12-19,10.125
EG.IBK.D.GT1M,2012-12-25,10.5
EG.IBK.D.GT1M,2013-01-08,10.0
EG.IBK.D.GT1M,2013-01-15,10.2
EG.IBK.D.GT1M,2013-01-27,10.5
EG.IBK.D.GT1M,2013-02-21,10.0
EG.IBK.D.GT1M,2013-03-07,10.35
EG.IBK.D.GT1M,2013-03-19,10.048
EG.IBK.D.GT1M,2013-03-25,10.61
EG.IBK.D.GT1M,2013-03-26,10.6
EG.IBK.D.GT1M,2013-03-27,10.65
EG.IBK.D.GT1M,2013-04-02,10.65
EG.IBK.D.GT1M,2013-04-16,0.106
EG.IBK.D.GT1M,2013-05-15,10.7
EG.IBK.D.GT1M,2013-05-21,10.7
EG.IBK.D.GT1M,2013-05-22,10.533
EG.IBK.D.GT1M,2013-05-29,11.5
EG.IBK.D.GT1M,2013-05-30,11.5
EG.IBK.D.GT1M,2013-06-12,10.68
EG.IBK.D.GT1M,2013-07-09,10.602
EG.IBK.D.GT1M,2013-07-14,10.35
EG.IBK.D.GT1M,2013-07-16,10.69
EG.IBK.D.GT1M,2013-07-24,10.253
EG.IBK.D.GT1M,2015-02-05,9.0
EG.IBK.D.GT1M,2015-02-24,8.85
EG.IBK.D.GT1M,2015-03-04,8.85
EG.IBK.D.GT1M,2016-02-24,9.35
EG.IBK.D.GT1M,2016-03-03,9.35
EG.IBK.D.GT1M,2016-03-20,10.85
EG.IBK.D.GT1M,2016-03-22,11.25
EG.IBK.D.GT1M,2016-03-29,11.25
EG.IBK.D.GT1M,2016-05-03,11.05
EG.IBK.D.GT1M,2016-06-19,11.85
EG.IBK.D.GT1M,2016-06-21,12.25
EG.IBK.D.GT1M,2016-06-28,12.25
EG.IBK.D.GT1M,2016-07-03,11.85
EG.IBK.D.GT1M,2016-07-31,11.85
EG.IBK.D.GT1M,2016-08-02,12.332
EG.IBK.D.GT1M,2016-09-27,12.25
EG.IBK.D.GT1M,2016-10-03,11.85
EG.IBK.D.GT1M,2016-11-20,14.85
EG.IBK.D.GT1M,2017-02-16,16.3
EG.IBK.D.GT1M,2017-02-21,16.3
EG.IBK.D.GT1M,2017-02-26,15.0
EG.IBK.D.GT1M,2017-02-28,16.5
EG.IBK.D.GT1M,2017-03-05,15.0
EG.IBK.D.GT1M,2017-03-08,16.75
EG.IBK.D.GT1M,2017-03-27,17.0
EG.IBK.D.GT1M,2017-05-22,17.0
EG.IBK.D.GT1M,2017-07-09,19.0
EG.IBK.D.GT1M,2017-10-01,19.0
EG.IBK.D.GT1M,2017-12-07,19.494
EG.IBK.D.GT1M,2017-12-11,19.45
EG.IBK.D.GT1M,2017-12-18,19.5
EG.IBK.D.GT1M,2017-12-19,19.524
EG.IBK.D.GT1M,2018-01-10,19.25
EG.IBK.D.GT1M,2018-01-23,19.25
EG.IBK.D.GT1M,2018-03-21,18.2
EG.IBK.D.GT1M,2018-05-20,17.3
EG.IBK.D.GT1M,2018-05-22,17.316
EG.IBK.D.GT1M,2018-06-03,17.3
EG.IBK.D.GT1M,2018-06-14,16.826
EG.IBK.D.GT1M,2018-06-20,17.3
EG.IBK.D.GT1M,2018-06-28,16.75
EG.IBK.D.GT1M,2018-08-07,16.875
EG.IBK.D.GT1M,2018-09-30,16.75
EG.IBK.D.GT1M,2018-10-09,16.974
EG.IBK.D.GT1M,2018-10-10,16.85
EG.IBK.D.GT1M,2018-11-18,16.8
EG.IBK.D.GT1M,2018-11-19,16.8
EG.IBK.D.GT1M,2018-12-30,16.82
EG.IBK.D.GT1M,2018-12-31,16.75
EG.IBK.D.GT1M,2019-03-31,15.771
EG.IBK.D.GT1M,2019-04-02,16.0
EG.IBK.D.GT1M,2019-07-02,15.75
EG.IBK.D.GT1M,2019-07-24,15.95
EG.IBK.D.GT1M,2020-03-18,9.83
EG.IBK.D.GT1M,2020-05-05,9.9
EG.IBK.D.GT1M,2020-05-06,10.15
EG.IBK.D.GT1M,2020-05-19,10.1
EG.IBK.D.GT1M,2020-06-16,9.75
EG.IBK.D.GT1M,2020-06-17,9.9
EG.IBK.D.GT1M,2020-06-30,9.25
EG.IBK.D.GT1M,2021-11-03,10.14
EG.IBK.D.GT1M,2021-11-17,10.212
EG.IBK.D.GT1M,2021-12-08,10.23
