series_id,period,value
EG.RATE.MAIN,2014-07-20,9.75
EG.RATE.MAIN,2015-01-18,9.25
EG.RATE.MAIN,2015-12-27,9.75
EG.RATE.MAIN,2016-03-20,11.25
EG.RATE.MAIN,2016-06-19,12.25
EG.RATE.MAIN,2016-11-03,15.25
EG.RATE.MAIN,2017-05-22,17.25
EG.RATE.MAIN,2017-07-09,19.25
EG.RATE.MAIN,2018-02-18,18.25
EG.RATE.MAIN,2018-04-01,17.25
EG.RATE.MAIN,2019-02-17,16.25
EG.RATE.MAIN,2019-08-25,14.75
EG.RATE.MAIN,2019-09-29,13.75
EG.RATE.MAIN,2019-11-17,12.75
EG.RATE.MAIN,2020-03-17,9.75
EG.RATE.MAIN,2020-09-27,9.25
EG.RATE.MAIN,2020-11-15,8.75
EG.RATE.MAIN,2022-03-21,9.75
EG.RATE.MAIN,2022-05-22,11.75
EG.RATE.MAIN,2022-10-27,13.75
EG.RATE.MAIN,2022-12-25,16.75
EG.RATE.MAIN,2023-04-02,18.75
EG.RATE.MAIN,2023-08-06,19.75
EG.RATE.MAIN,2024-02-04,21.75
EG.RATE.MAIN,2024-03-06,27.75
EG.RATE.MAIN,2025-04-22,25.5
EG.RATE.MAIN,2025-05-25,24.5
EG.RATE.MAIN,2025-08-31,22.5
EG.RATE.MAIN,2025-10-05,21.5
EG.RATE.MAIN,2025-12-28,20.5
EG.RATE.MAIN,2026-02-15,19.5
