series_id,period,value
EG.EXT.REMIT.FYTD,2025-05-31,32800.0
EG.EXT.REMIT.FYTD,2026-01-31,25600.0
EG.EXT.REMIT.FYTD,2026-02-28,29400.0
EG.EXT.REMIT.FYTD,2026-03-31,34900.0
EG.EXT.REMIT.FYTD,2026-04-30,39200.0
EG.EXT.REMIT.FYTD,2026-05-31,43100.0
EG.RES.NIR,2015-06-23,19559.7
EG.RES.NIR,2015-12-01,16422.6
EG.RES.NIR,2016-01-01,16445.2
EG.RES.NIR,2016-02-01,16477.6
EG.RES.NIR,2016-05-02,17010.8
EG.RES.NIR,2016-06-03,17520.9
EG.RES.NIR,2016-08-08,15536.4
EG.RES.NIR,2016-09-05,16564.4
EG.RES.NIR,2016-12-06,23058.2
EG.RES.NIR,2017-03-03,26541.6
EG.RES.NIR,2017-06-05,31125.6
EG.RES.NIR,2017-09-07,36143.2
EG.RES.NIR,2018-06-05,44138.9
EG.RES.NIR,2018-09-06,44419.3
EG.RES.NIR,2019-06-04,44274.9
EG.RES.NIR,2019-07-05,44351.8
EG.RES.NIR,2019-12-04,45354.4
EG.RES.NIR,2020-01-06,45419.6
EG.RES.NIR,2020-02-07,45456.5
EG.RES.NIR,2020-03-03,45509.8
EG.RES.NIR,2020-06-08,36003.7
EG.RES.NIR,2020-07-08,38201.6
EG.RES.NIR,2020-08-07,38314.5
EG.RES.NIR,2020-09-08,38366.3
EG.RES.NIR,2020-10-08,38425.3
EG.RES.NIR,2020-11-04,39220.1
EG.RES.NIR,2020-12-07,39221.8
EG.RES.NIR,2021-01-06,40062.5
EG.RES.NIR,2021-02-04,40100.7
EG.RES.NIR,2021-03-08,40200.6
EG.RES.NIR,2021-04-05,40337.2
EG.RES.NIR,2021-06-04,40468.0
EG.RES.NIR,2021-07-07,40584.0
EG.RES.NIR,2021-08-05,40609.2
EG.RES.NIR,2021-09-07,40672.1
EG.RES.NIR,2021-10-05,40825.1
EG.RES.NIR,2021-11-04,40849.0
EG.RES.NIR,2021-12-08,40909.2
EG.RES.NIR,2022-01-06,40934.8
EG.RES.NIR,2022-02-07,40980.4
EG.RES.NIR,2022-03-04,40993.8
EG.RES.NIR,2022-05-09,37123.5
EG.RES.NIR,2022-08-07,33143.0
EG.RES.NIR,2022-09-07,33141.7
EG.RES.NIR,2022-10-05,33197.7
EG.RES.NIR,2022-11-03,33411.4
EG.RES.NIR,2022-12-06,33532.1
EG.RES.NIR,2023-01-03,34002.9
EG.RES.NIR,2023-02-05,34224.4
EG.RES.NIR,2023-03-05,34352.3
EG.RES.NIR,2023-04-05,34447.3
EG.RES.NIR,2023-05-03,34551.2
EG.RES.NIR,2023-06-06,34660.4
EG.RES.NIR,2023-07-06,34806.9
EG.RES.NIR,2023-08-06,34878.6
EG.RES.NIR,2023-09-07,34928.4
EG.RES.NIR,2023-10-04,34970.0
EG.RES.NIR,2023-11-05,35101.8
EG.RES.NIR,2023-12-07,35173.1
EG.RES.NIR,2024-01-04,35219.5
EG.RES.NIR,2024-02-05,35249.5
EG.RES.NIR,2024-03-05,35310.8
EG.RES.NIR,2024-04-03,40361.3
EG.RES.NIR,2024-05-07,41057.0
EG.RES.NIR,2024-06-04,46125.5
EG.RES.NIR,2024-07-07,46383.9
EG.RES.NIR,2024-08-06,46488.9
EG.RES.NIR,2024-09-05,46597.3
EG.RES.NIR,2024-10-03,46736.7
EG.RES.NIR,2024-11-06,46941.6
EG.RES.NIR,2024-12-08,46952.1
EG.RES.NIR,2025-01-06,47109.1
EG.RES.NIR,2025-02-05,47265.3
EG.RES.NIR,2025-03-04,47393.6
EG.RES.NIR,2025-04-07,47757.1
EG.RES.NIR,2025-05-06,48143.9
EG.RES.NIR,2025-06-04,48526.1
EG.RES.NIR,2025-07-07,48700.2
EG.RES.NIR,2025-08-05,49036.0
EG.RES.NIR,2025-09-07,49250.7
EG.RES.NIR,2025-10-06,49533.5
EG.RES.NIR,2025-11-09,50071.3
EG.RES.NIR,2025-12-07,50215.7
EG.RES.NIR,2026-01-06,51451.6
EG.RES.NIR,2026-02-05,52593.8
EG.RES.NIR,2026-03-04,52745.5
EG.RES.NIR,2026-04-05,52830.6
EG.RES.NIR,2026-05-06,53009.2
EG.RES.NIR,2026-06-07,53134.2
EG.RES.NIR,2026-07-08,55072.3
EG.RES.NIR,2026-08-05,56293.9
