series_id,period,value
EG.RATE.RETAIL.DEP.1M3M,2010-06-01,6.3
EG.RATE.RETAIL.DEP.1M3M,2010-07-01,6.3
EG.RATE.RETAIL.DEP.1M3M,2010-08-01,6.3
EG.RATE.RETAIL.DEP.1M3M,2010-09-01,6.4
EG.RATE.RETAIL.DEP.1M3M,2010-10-01,6.6
EG.RATE.RETAIL.DEP.1M3M,2010-11-01,6.6
EG.RATE.RETAIL.DEP.1M3M,2010-12-01,6.6
EG.RATE.RETAIL.DEP.1M3M,2011-01-01,6.5
EG.RATE.RETAIL.DEP.1M3M,2011-02-01,6.5
EG.RATE.RETAIL.DEP.1M3M,2011-03-01,6.5
EG.RATE.RETAIL.DEP.1M3M,2011-04-01,6.6
EG.RATE.RETAIL.DEP.1M3M,2011-05-01,6.7
EG.RATE.RETAIL.DEP.1M3M,2011-06-01,6.6
EG.RATE.RETAIL.DEP.1M3M,2011-07-01,6.7
EG.RATE.RETAIL.DEP.1M3M,2011-08-01,6.7
EG.RATE.RETAIL.DEP.1M3M,2011-09-01,6.8
EG.RATE.RETAIL.DEP.1M3M,2011-10-01,7.0
EG.RATE.RETAIL.DEP.1M3M,2011-11-01,7.1
EG.RATE.RETAIL.DEP.1M3M,2011-12-01,7.2
EG.RATE.RETAIL.DEP.1M3M,2012-01-01,7.4
EG.RATE.RETAIL.DEP.1M3M,2012-02-01,7.6
EG.RATE.RETAIL.DEP.1M3M,2012-03-01,7.7
EG.RATE.RETAIL.DEP.1M3M,2012-04-01,7.6
EG.RATE.RETAIL.DEP.1M3M,2012-05-01,7.6
EG.RATE.RETAIL.DEP.1M3M,2012-06-01,7.7
EG.RATE.RETAIL.DEP.1M3M,2012-07-01,7.7
EG.RATE.RETAIL.DEP.1M3M,2012-08-01,7.7
EG.RATE.RETAIL.DEP.1M3M,2012-09-01,7.7
EG.RATE.RETAIL.DEP.1M3M,2012-10-01,7.7
EG.RATE.RETAIL.DEP.1M3M,2012-11-01,7.7
EG.RATE.RETAIL.DEP.1M3M,2012-12-01,7.6
EG.RATE.RETAIL.DEP.1M3M,2013-01-01,7.6
EG.RATE.RETAIL.DEP.1M3M,2013-02-01,7.8
